,File Number,Explicit Connective1,Explicit Connective2,Arg1 Complete,Arg2 Complete,Exp Sense1,Exp Sense2
104,wsj_0984,and,if,"One of the more bizarre garden stories since Eden has been unfolding for four years now, in the private paper-and-crayon fantasies of artist Jennifer Bartlett.","she and the Battery Park City Authority have their way, her horticulturally inept plan will soon go public as a real garden ""artwork"" in the downtown complex.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
105,wsj_0984,and,by,"BPCA President and CEO David Emil hopes to negotiate a seawall that could ""be significantly more visually permeable.""","substituting yet another landscape architect, Nicholas Quennell, he insists he can achieve that and other accommodations to gardening reality while still preserving the ""artistic vision"" of a ""truly great artist.""",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
106,wsj_0996,and,if,"If after such Reconsideration two thirds of that House shall agree to pass the Bill, it shall be sent, together with the Objections, to the other House, by which it shall likewise be reconsidered,","approved by two thirds of that House, it shall become a Law. . . .",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
107,wsj_0996,and,before,"Every Order, Resolution, or Vote to which the Concurrence of the Senate and House of Representatives may be necessary (except on a question of Adjournment) shall be presented to the President of the United States;","the Same shall take Effect, shall be approved by him, or being disapproved by him, shall be repassed by two thirds of the Senate and House of Representatives, according to the Rules and Limitations prescribed in the Case of a Bill.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
108,wsj_1002,and,as,"Next week, the country's top designers and manufacturers will begin showing fashions for spring 1990, the second most important selling season of the year.","the applause dies down in showrooms along Seventh Avenue and Broadway, stylishly clad Campeau buyers will begin writing orders.",Expansion.Conjunction,Temporal.Synchronous
109,wsj_1017,and,though,"The vote yesterday was the most partisan in many years,","the Democratic leadership is ambivalent about how to address the abortion issue, the debate is increasingly measured in party terms.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
110,wsj_1017,and,though,"At a recent White House meeting, Rep. Silvio Conte (R., Mass.), the ranking minority member of the House Appropriations Committee, argued with his friend Mr. Bush against a veto,","Mr. Conte and Minority Leader Robert Michel of Illinois stood with the president yesterday, they are plainly uncomfortable with his position.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
111,wsj_1017,but,if,"""This may not make George Bush a one-term president,"" said the Oregon liberal, addressing the Republican side of the House. ""","you support him over rape victims, this may be your last term.""",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
112,wsj_1026,and,now that,"In the last hour of the trading day, December contract took a tumble to end the session 10 cents lower at $19.62 a barrel.","the price has fallen below $19.65, which many had said showed considerable resistance, some traders and analysts figure there's little to stop the price from going lower on technical decisions.",Expansion.Conjunction,Temporal.Synchronous
113,wsj_1037,but,although,"Japanese auto makers, for example, are increasing their production capacity in the U.S.; the additional production should, in part, replace imported vehicles with locally manufactured ones.","Japanese companies increased their U.S. auto output by 42% from January to September compared with the year-earlier period, their exports to the U.S. will drop only 9% this year, Nikko Research Center estimates.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
114,wsj_1052,and,by,But trading risk stems from credit risk.,"adding equity, DLJ would seem to be acknowledging that credit risk was a concern.",Expansion.Conjunction,Contingency.Cause.Reason
115,wsj_1054,and,as,"The guest paid his bill at the resort hotel,","he departed he noticed a sign saying, ""Have You Left Anything?""",Expansion.Conjunction,Temporal.Synchronous
116,wsj_1055,but,while,"After being trampled in Tuesday's selling stampede, the Nasdaq over-the-counter market dusted itself off and moved on in moderate trading.","the Composite gained 1.19, to 462.89, many issues didn't participate in the advance.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
117,wsj_1057,later,if,"Moreover, ""there's no question ad rates will come down considerably"" from the GM-Toyota price, says Arnold Chase of Bozell Inc. Other admen, however, say rates could rise",ad spending surges.,Temporal.Asynchronous.Precedence,Contingency.Condition.Arg2-as-cond
118,wsj_1058,and,while,"Eavesdropping -- both corporate and private -- is on the rise, thanks to the proliferation of surveillance technologies.","sellers of the equipment and companies ""monitoring"" employees have few qualms, right-to-privacy advocates and some lawmakers are alarmed.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
119,wsj_1059,and,because,"IBM has already indicated it will have problems in the quarter, partly because of a delay in shipping a high-end disk drive",the strong dollar will cut significantly the value of IBM's overseas earnings when translated into dollars.,Expansion.Conjunction,Contingency.Cause.Reason
120,wsj_1062,but,now that,"Earlier this month, the White House endorsed stripping the controversial tax measure from the bill so that Congress could pass quickly a ""clean"" bill containing only provisions specifically designed to meet federal budget targets under the Gramm-Rudman act.","Congress has missed the legal deadline for meeting the Gramm-Rudman targets, the White House said it has returned to its original view that a capital-gains cut should be part of the deficit-reduction bill, on which Congress continues to work.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
121,wsj_1094,but,since,"For most of the past nine years, he has striven to convince anti-abortion activists of his stalwart support for their position.","the Supreme Court's Webster vs. Reproductive Health Services decision this year changed the political landscape of the abortion issue, the president seemingly has tried just as hard to avoid saying anything more unless pressed to the wall.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
122,wsj_1099,but,after,"An undistinguished college student who dabbled in zoology until he concluded that he couldn't stand cutting up frogs, Mr. Corry wanted to work for a big company ""that could do big things.""","joining the tax department of a USX subsidiary 30 years ago, he set the modest goal of becoming tax manager by the age of 46.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
123,wsj_1099,but,when,Mr. Corry expected the Texas Oil & Gas sale to delight Mr. Icahn by addressing his concern about boosting shareholder value.,"the two men met in New York a day after Mr. Icahn disclosed the rise in his USX stake, Mr. Corry learned that Mr. Icahn wanted him to sell all of Texas Oil -- not just its reserves of about 1.2 trillion cubic feet of natural gas and 28 million barrels of oil but also its pipeline, gas-gathering and contract-drilling operations.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
124,wsj_1103,and,when,"The mismatch exposed the company to a high degree of interest-rate risk,","rates moved unfavorably -- beginning late last year and continuing into this year -- ""it cost them,"" Mr. Kriz said.",Expansion.Conjunction,Temporal.Synchronous
125,wsj_1128,but,no matter,"Soichiro Honda's picture now hangs with Henry Ford's in the U.S. Automotive Hall of Fame, and the game-show ""Jeopardy"" is soon to be Sony-owned.","how much Japan gets under our skin, we'll still have mom and apple pie.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
126,wsj_1146,but,with,"Tons of delectably rotting potatoes, barley and wheat will fill damp barns across the land as thousands of farmers turn the state's buyers away. Many a piglet won't be born as a result, and many a ham will never hang in a butcher shop.","inflation raging, grain in the barn will still be a safer bet for the private farmer than money in the bank.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
127,wsj_1151,but,as,"The stock market's precipitous drop frightened foreign investors, who quickly bid the dollar lower.","stock prices recovered some of the early losses, so did the U.S. currency.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
128,wsj_1158,but,even if,"I, by contrast, cannot help feeling that if some other curiosity from the Burgess Shale had survived instead, beings at once wiser and less boorish than Homo sapiens might have eventually gained earthly dominion.","no conscious life had evolved here at all, the universe is a big place, and given the right conditions, sympathetic to creating some form of life.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
129,wsj_1172,but,while,"Britain's latest trade figures contained some positive news for the economy, such as a surge in the volume of exports, which were 8.5% higher than a year earlier.","September exports rose to #8.43 billion, imports shot up to #10.37 billion.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
130,wsj_1189,but,when,"Sen. Alan Dixon (D, Ill.), chairman of the subcommittee on consumer and regulatory affairs, said, ""I'm not a statistician.","blacks are getting their loan applications rejected twice as often as whites -- and in some cities, it is three and four times as often -- I conclude that discrimination is part of the problem.""",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
131,wsj_1203,but,though,"William Kaiser, president of the Kaiser Financial Group in Chicago, said the decline was almost certainly influenced by the early sell-off in the stock market, which partly reflected a weakening economy. He said the recent decline in copper stocks was misleading in the face of a slowdown in manufacturing. Mr. Kaiser said traders could have picked up signals of an imminent price decline had they been watching the scrap metal markets, which became noticeably weaker two to three weeks ago.","a weakening economy implies reduced demand, Mr. Kaiser said that Third World copper-producing countries haven't any choice but to sell copper.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
132,wsj_1203,but,while,The last time cocoa traded at prices as low as currently was in 1974.,"further modest declines might be ahead, Mr. Hafer said it would be difficult to get through resistance levels just above yesterday's high.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
133,wsj_1208,but,as,"The trading halt in the S&P 500 futures exacerbated selling and confusion, many traders maintain.","the fright began to spread through the S&P pit, the big brokerage firms came in and bought futures aggressively.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
134,wsj_1208,because,when,But I think we are losing credibility,"the market does this, it doesn't present itself as a rational investment.",Contingency.Cause.Reason,Contingency.Condition.Arg2-as-cond
135,wsj_1208,but,if,"But I think we are losing credibility because when the market does this, it doesn't present itself as a rational investment.","you overlook all this, it is a beautiful market for investment still.""",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
136,wsj_1248,and,because,"In late trading on London's Stock Exchange yesterday, the shares were off three pence at 194 pence.","British Air is issuing convertible bonds rather than ordinary shares, the share price won't be directly hurt by any surplus left with underwriters after they try to sell the issue in the open market.",Expansion.Conjunction,Contingency.Cause.Reason
137,wsj_1262,but,when,"Your article points out the traps people fall into,",reviewing those traps one sees just about all of them could have been avoided.,Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
138,wsj_1269,but,even though," 
Polyurethane foam is a highly efficient insulator, which accounts for why the walls of refrigerators and freezers can be thinner now than they were back in the days when they were insulated with glass fiber.
","by some estimates it might cost the world as much as $100 billion between now and the year 2000 to convert to other coolants, foaming agents and solvents and to redesign equipment for these less efficient substitutes, the Montreal Protocol's legions of supporters say it is worth it.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
139,wsj_1269,but,if,"If they were really getting insurance against environmental disaster, the price would be cheap.","there is no impending threat, it can get to be very expensive.",Comparison.Contrast,Contingency.Condition.Arg2-as-cond
140,wsj_1271,but,while,"Yesterday, she was still waiting at a bus stop after three hours, trying to transfer to a bus going to the financial district.   ""It's worse than I thought,"" she said. ""I don't know where all the buses are.""","traffic was heavy early in the commute over the Golden Gate, by 8 a.m. it already had thinned out.",Comparison.Contrast,Comparison.Concession.Arg1-as-denier
141,wsj_1272,and,when,"Though almost everybody at the playing site had been looking for the 26-year-old Soviet to beat the Pennsylvania-based computer, he gave the machine a far worse drubbing than many expected.","Mr. Kasparov strode into the playing hall, he called the outcome.",Expansion.Conjunction,Temporal.Asynchronous.Succession
142,wsj_1272,and,when,"Greedily, it grabbed a pawn, at the cost of facing a brutal attack.","a defensive move was called for, D.T. passed up an obvious pawn move and instead exposed its queen to immediate tactical threats.",Expansion.Conjunction,Temporal.Asynchronous.Succession
143,wsj_1284,for,once,"While Polish data have been freely available since 1980, it was no accident that participants urged the free flow of information.","information flows, public participation follows and repression becomes difficult to reimpose.",Contingency.Cause.Reason,Temporal.Asynchronous.Succession
144,wsj_1296,and,even if,"Drexel says it doesn't expect any of its state brokerage licenses will be revoked,","some are, its securities business wouldn't be directly hurt.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
145,wsj_1297,and,because,The programming division saw a decline in operating cash flow because the year-ago quarter included a $12 million dividend from Turner Broadcasting System,the quarter includes expenses associated with the Nov. 15 launch of HBO's Comedy Channel.,Expansion.Conjunction,Contingency.Cause.Reason
146,wsj_1303,and,while,American institutional investors have never had a large appetite for Japanese equities.,"the Japanese have stepped up their purchases of U.S. shares in the past several months, they have shown themselves in the past to be fickle investors.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
147,wsj_1307,and,if,But there's no danger of exposing sources and methods in disclosing the debate running up and down Pennsylvania Avenue.,"Congress is going to assume authority to micromanage foreign policy, it's going to have to take some of the responsibility too.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
148,wsj_1317,and,although,"The agency, under his direction, bitterly fought a takeover attempt by WPP Group PLC of London before succumbing in May.","Mr. Roman and WPP's chief executive, Martin Sorrell, have gone out of their way to be publicly supportive of each other, people close to Mr. Roman say he was unhappy giving up control of the company.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
149,wsj_1320,but,because,"That level of production didn't take its toll on futures prices for the fourth quarter, when demand is traditionally strong.","first-quarter demand is normally the weakest of the year, several market participants say, OPEC production will have to decline to keep prices from eroding further.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
150,wsj_1320,and,when,The New York market made its high for the day on the opening,"it dropped below the $1.23-a-pound level, selling picked up as previous buyers bailed out of their positions and aggressive short sellers -- anticipating further declines -- moved in.",Expansion.Conjunction,Temporal.Asynchronous.Succession
151,wsj_1322,and,if,"""It's a segmented market,","you have a good, strong credit, people have an appetite for it,"" he said.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
152,wsj_1327,and,when,"The Free French wore black arm bands,","she sang ""J'ai deux amours"" they wept.",Expansion.Conjunction,Temporal.Synchronous
153,wsj_1327,but,as,"In her introduction, Ms. Rose writes that she feels she has much in common with Baker,","""Jazz Cleopatra"" goes on, it seems more rushed, as though the author were growing less interested.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
154,wsj_1349,and,even when,"On the chairman's motion, the California package was subsequently reduced to less-binding report language,","this was accepted as such on a voice vote, Mr. Whitten pointedly opposed it.",Expansion.Conjunction,Temporal.Asynchronous.Succession
155,wsj_1368,but,while," 
Reflecting the new-found interest, more than 140 U.S. companies are taking part in a Moscow exhibition organized by Mr. Forrester's trade group.
","U.S. interest may be big and growing, the difficulties that have stymied deals in the past show no sign of abating.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
156,wsj_1376,and,while,"""I do it innately and pathologically,","it may occasionally get me into trouble, it's also gotten me access to parties and society,"" he says.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
157,wsj_1376,and,because,"It has gotten a bad rep because its once heavily polluted Cuyahoga River caught fire, because former Mayor Ralph Perk set his hair on fire with an acetylene torch",its proposed Rock 'n' Roll Hall of Fame was recently refused an urban-development grant.,Expansion.Conjunction,Contingency.Cause.Reason
158,wsj_1387,and,as,But this time it's hurting opposition as well as ruling-party members.,"it unfolds, it's revealing some of the more tangled and seamier aspects of Japanese society.",Expansion.Conjunction,Temporal.Synchronous
159,wsj_1387,and,because,"But the total of all those pinging balls has created an industry with a reported annual income of 13 trillion yen (almost $92 billion), or nearly the size of Japan's vaunted automobile industry.","the pachinko industry is regularly at the top of annual lists for tax evasion, some observers estimate the real income could be as much as 20 trillion yen.",Expansion.Conjunction,Contingency.Cause.Reason
160,wsj_1387,because,although,The issue is further complicated,"the organizations represent Korean residents, those residents were largely born and raised in Japan and many speak only Japanese.",Contingency.Cause.Reason,Comparison.Concession.Arg1-as-denier
161,wsj_1388,but,once,"""I threw such a fit,"" says Mr. McDuffie, who had begun violin studies at the age of six. ""","Perlman started playing, I didn't give a damn about basketball. . . .",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
162,wsj_1391,but,before,"According to Chinese customs figures, import growth has slowed in recent months, dropping to 16% in July and 7.1% in August from the year-earlier periods, compared with an average growth rate of 26% in the first half.","import growth slowed, China's buying spree in the first half already had taken its toll on foreign-exchange reserves.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Precedence
163,wsj_1394,but,though,"The company deliberately understaffs, stretching employees' schedules to the limit.","couriers work as many as 60 hours a week during the autumn rush, they leave early during slack times while still being assured of a minimum paycheck.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
164,wsj_1394,but,though,"A large majority of the 961 former Tiger fliers support the union, according to a union study.","most of the 1,087 Federal pilots are believed opposed, it is unclear just how much their loyalty to Mr. Smith has been eroded.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
165,wsj_1397,and,when,"He describes a drowned corpse as ""Esther Williams.""","he's told ""Try a little tenderness,"" he shoots back ""I'm going home to try a little linguine.""",Expansion.Conjunction,Temporal.Asynchronous.Succession
166,wsj_1453,but,when,"Because the funds' investments are denominated in foreign currencies, their value expressed in dollars goes up when those currencies rise against the dollar.","the dollar rises against major foreign currencies, as it did for much of this year, the dollar value of these funds declines.",Comparison.Contrast,Temporal.Synchronous
167,wsj_1457,until,after,He waits to talk about it,"he gets caught.""",Temporal.Asynchronous.Precedence,Temporal.Asynchronous.Succession
168,wsj_1463,so,when,"""It's a large-ticket discretionary purchase,"" said Robert Curran, who follows the industry for Merrill Lynch & Co. ""","there's talk and concern about the economy, it's not unreasonable for a portion of the buying public to defer purchases.""",Contingency.Cause.Result,Temporal.Synchronous
169,wsj_1464,but,when,Investors rushed to buy bonds during the summer as prices soared on speculation that interest rates would continue to fall.,"it became clear that rates had stabilized and that the Fed's credit-easing policy was on hold, bond yields jumped and prices tumbled.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
170,wsj_1464,but,once,Some economists believe that yields on all Treasury securities may rise this week as the market struggles to absorb the new supply.,"the new securities are digested, they expect investors to focus on the weak economic data.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
171,wsj_1469,but,when,"At first it attributed the slump to temporary business disruptions,","no orders were logged in August and September, manager Donald Lai became convinced that business would be bad for many months.",Comparison.Contrast,Temporal.Synchronous
172,wsj_1474,and,because,"The small U.S. firms are persisting because of their strong positions in patents,",the prize is still there to be seized.,Expansion.Conjunction,Contingency.Cause.Reason
173,wsj_1499,so,instead of,"For example, the administration proposal imposes extremely tough emissions standards on new power plants.","building more efficient modern plants, utilities stick scrubbers on the old plants.",Contingency.Cause.Result,Expansion.Substitution.Arg1-as-subst
174,wsj_1499,but,while,What is even more ironic is that all over the world nations are learning that well-intentioned public programs often backfire.,"they are unloading these burdens, the United States is close to creating three more big ones.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
175,wsj_1549,but,if,"""He doesn't have any honeymoon period,"" says a Western diplomat based in East Berlin. ""","he's sharp and quick, he has a chance.""",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
176,wsj_1554,yet,if,"Investors have gotten burned on silver so often that they are far more partial to gold, says Urs Seiler, senior vice president at Union Bank of Switzerland.","gold prices improve, silver prices could rally sharply, he says.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
177,wsj_1556,but,once,Franchisees can't be forced to go along with a franchiser's discounting.,"a franchisee agrees to a promotional program, the franchiser can demand full participation to the very end, says Lew Rudnick, a principal of Rudnick & Wolfe, a Chicago law firm with franchise industry clients.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
178,wsj_1562,and,even when,Not all exchanges accept every type of order.,"a specific order is acceptable to an exchange, a brokerage firm can refuse to enter it for a customer.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
179,wsj_1562,but,if,"Investors who wish to be out of a position, without the risk of receiving a worse-than-expected price from a market order, may use this type of order to specify the price at which the order must be filled.","the market moves quickly enough, it may be impossible for the broker to carry out the order because the investment has passed the specified price.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
180,wsj_1562,but,if,It instructs a broker to buy or sell an investment at the specified price or better.,"the investment can't be bought or sold immediately, the order is automatically canceled.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
181,wsj_1564,but,while,"Looking to the past can provide some clues. Over several decades, for instance, investors who put up with the stock market's gyrations earned returns far in excess of those on bonds and ""cash"" investments like Treasury bills.",history can suggest what is reasonable to expect there's no guarantee that the past will repeat itself.,Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
182,wsj_1569,but,if,"That won't matter if they are held to maturity,",", for any reason, the parents need to sell them before then, there could be a severe loss of principal.",Comparison.Contrast,Contingency.Condition.Arg2-as-cond
183,wsj_1570,and,now that,"Other projects look for offenders among waiters who get cash tips, people who engage in large cash transactions, and people whose returns show they sold a home for a profit without reinvesting the capital gain in another home by the end of the same year; the gain must be rolled over within two years to defer tax.","returns must show dependents' Social Security numbers, the IRS wants to see which dependents show up on more than one return -- and which dependents turn out to be deceased.",Expansion.Conjunction,Temporal.Synchronous
184,wsj_1574,so,if,"In times past, life-insurance salesmen targeted heads of household, meaning men, but ours is a two-income family and accustomed to it.","anything happened to me, I'd want to leave behind enough so that my 33-year-old husband would be able to pay off the mortgage and some other debts (though not, I admit, enough to put any potential second wife in the lap of luxury).",Contingency.Cause.Result,Contingency.Condition.Arg2-as-cond
185,wsj_1574,and,if,"If I die early, I win -- a hollow victory, since I can't enjoy it --","I live long, the insurer wins.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
186,wsj_1582,but,although,"Even the courts are beginning to recognize the link between jobs and stress-related disorders in compensation cases, according to a survey by the National Council on Compensation Insurance.","56% of the respondents in the study indicated that mental-health problems were fairly pervasive in the workplace, there is still a social stigma associated with people seeking help.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
187,wsj_1596,and,when,"""Margins will remain under pressure,","the new mainframe does ship, I'm not sure it will be a big winner.",Expansion.Conjunction,Temporal.Asynchronous.Succession
188,wsj_1615,and,by,He hurt himself further this summer by bringing homosexual issues into the debate;,"wavering on this issue and abortion, he has weakened his credibility in what is already a mean-spirited campaign on both sides.",Expansion.Conjunction,Contingency.Cause.Reason
189,wsj_1615,yet,after,He is warm and polished before a Puerto Rican Congress in Asbury Park.,"promising to appoint Hispanics to high posts in state government, he is unable to say whether he has ever employed any in his congressional office.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
190,wsj_1620,but,when,Mr. Glazer couldn't immediately be reached to comment.,"Harley last week publicly questioned the legality of the group's filing procedures, the Rochester, N.Y., investor said ""we complied with every law,"" and he denied any wrongdoing.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
191,wsj_1622,and,when,"When they halt trading, all market liquidity is gone.","any component of the market -- cash, futures or options -- loses liquidity, the price discovery system (the way prices are determined) becomes flawed or is lost entirely for a time.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
192,wsj_1624,but,while,Bond prices posted strong gains as investors went on a bargain hunt.,"the overall market improved, the new-issue junk-bond market continued to count casualties, even as junk-bond prices rose.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
193,wsj_1634,and,before,"Within two days, he was on his way to New York and Tokyo to meet with top brass at Sony.","the week was out, Sony had offered Mr. Guber and his partner, Jon Peters, the most lucrative employment contracts in the history of the movie business.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
194,wsj_1634,but,though,Some note that Sony might have saved itself some trouble by just hiring Mr. Guber and letting Mr. Peters stay on to fulfill the Warner contract.,"""people in town may ask why Guber needs Peters, it's good to have a partner, and obviously the chemistry works,"" says Steven Tisch, a producer who once worked for Mr. Guber.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
195,wsj_1635,and,therefore,"""A day of reckoning is coming where we think the market will place a high premium on the highest-quality debt issues,","we think the best debt investment is U.S. government bonds,"" says Craig Corcoran of Davis/Zweig Futures Inc., an investment advisory firm.",Expansion.Conjunction,Contingency.Cause.Result
196,wsj_1646,but,with,The meeting is expected to call for heightened austerity for two years.,"industrial growth stagnant and inflation showing signs of easing, some voices may call for measures to pump new life into the economy.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
197,wsj_1646,but,while,"One sign of a possible easing of credit policy was the decision this week of People's Bank of China, the central bank, to allocate $5.4 billion in short-term loans to pay farmers for the autumn harvest, the official China Daily reported.","pumping more money into the economy would bring relief to many industries, it also runs the risk of triggering another period of runaway growth and steep inflation.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
198,wsj_1650,and,if,"""It may not be weeks or months, but they are also opportunistic","they feel comfortable, they will move on a deal,"" he said.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
199,wsj_1652,but,if,"For the nine months, Amoco said that net income fell to $1.29 billion from $1.69 billion","unusual items are excluded, operations produced essentially flat results.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
200,wsj_1677,and,if,"Mr. Digate says that Beyond will refine the product ""so the message will be smart enough to know to come back and bother you again next week.""","a user is busy, ""he can set it for crisis mode: `Don't bother me with reports until Monday. '""",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
201,wsj_1685,but,if,"We know they are dangerous,","handled with care, their benefits far outweigh any risk to the environment.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
202,wsj_1687,but,even if,"The increasing likelihood that Cananea and Highland Valley will soon return to production may have cut some of that purchasing,","any of these mines begin operating soon, their output won't be significant until at least the end of the year, analysts note.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
203,wsj_1688,or,when,The state is protected when plans and designs for public structures were approved ahead of time,"structures met previously approved standards, says Mr. Covert.",Expansion.Disjunction,Contingency.Condition.Arg2-as-cond
204,wsj_1698,but,if,"We're told Senator Pryor isn't yet a co-sponsor,","he and his colleagues are serious about kicking their compulsions, they'll sign up.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
205,wsj_1713,later,if,"Nationwide Health said it has ""numerous financing activities"" under way to remedy the problem and will make up the dividend payment",possible.,Temporal.Asynchronous.Precedence,Contingency.Condition.Arg2-as-cond
206,wsj_1778,but,when,"The quake knocked The Well out for six hours,","it came back up, it teemed with emotional first-hand reports.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
207,wsj_1778,then,as,"At first, we were unfazed.","things got rougher, we ran for the door and spent the next few minutes outside watching the brick sidewalk under our feet oozing up and down, and the flowers waving in an eerie rhythm.",Temporal.Asynchronous.Precedence,Temporal.Synchronous
208,wsj_1778,then,when,"The three of us stopped breathing for a moment, and",it kept on coming we lunged for the doorway.,Temporal.Asynchronous.Precedence,Temporal.Synchronous
209,wsj_1789,and,with,"In recent contract negotiations with Pemex management, Mr. Guzman Cabrera accepted major concessions that greatly curtail the union's role in subcontracting, long a source of millions of dollars in illicit earnings.","the quiet pragmatism of Mr. Guzman Cabrera replacing the prickly populism of La Quina, government technocrats have been given a free hand to open the petrochemical sector to wider private and foreign investment.",Expansion.Conjunction,Contingency.Cause.Reason
210,wsj_1789,but,when,"Grupo Desc, a big conglomerate, has long depended on Pemex petrochemicals to produce plastic packing material.","the Pemex plant shut down for an annual overhaul, it would never give notice to its customers.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
211,wsj_1802,and,if,We don't have an absolute deadline,"market conditions are truly awful we might decide it is not the right time,"" to take particular steps, said Michael Prideaux, a B.A.T spokesman.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
212,wsj_1810,but,when,Bond prices rallied early yesterday morning as traders scrambled to buy Treasury issues on fears that the Northern California earthquake might lead to a stock-market debacle.,"stocks held steady, Treasury bonds later retreated.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
213,wsj_1810,but,when,"In a bull market, credit does not matter,"" Mr. DeVoe added. ""","it does matter, then it's the only thing that matters.""",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
214,wsj_1824,and,though,The account currently has $220 million.,"federal law dictates that only $100 million can be disbursed from that fund in any one state per disaster, administration officials expect Congress to move in to authorize spending more now in California.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
215,wsj_1825,and,while,Blunt Ellis & Loewi estimates direct mail catalog sales rose to $12 billion last year.,"it's too soon to tell how sales will fare in the important 1989 Christmas season, some companies take steps to ease the usual 11th-hour crush.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
216,wsj_1827,and,because,Northrop said sales fell because of the decline in B-2 development dollars from the government as the plane continues its initial production stage,fewer F/A-18 fighter sections are being produced in its subcontract work with prime contractor McDonnell Douglas Corp.,Expansion.Conjunction,Contingency.Cause.Reason
