"File Number","Explicit Connective1","Explicit Connective2","Arg1 Text","Arg2 Text"
"wsj_0937","but","if","","it was the national disease in 1906, it is today the national commonplace."
"wsj_0937","and","if","","you are caught or if people complain, simply argue that ""everyone does it"" or ""no one said I shouldn't "" and brazen it out."
"wsj_0937","or","if","And if you are caught","people complain, simply argue that ""everyone does it"" or ""no one said I shouldn't "" and brazen it out."
"wsj_0938","and","then","The directors didn't indicate the source of financing for Mr. Drabinsky's new proposal, but said MCA and the Bronfman associates agreed in principle to buy for $57 million","lease back to Cineplex its 18-screen theater complex in Universal City, Calif., if Mr. Drabinsky succeeds in an offer."
"wsj_0944","and","therefore","Judge Leval reluctantly concluded that a few of Mr. Miller's quotations from Mr. Hubbard's unpublished writings, because they were not necessary to prove historical points, failed the fair-use test","infringed copyright."
"wsj_0944","and","thus","Suppression of the book, Judge Oakes observed, would operate as a prior restraint","involve the First Amendment."
"wsj_0944","and","when","","responsible scholars gain legitimate access to unpublished materials, copyright should not be permitted to deny them use of quotations that help to establish historical points."
"wsj_0946","but","although","","Thurber did so gently and lightheartedly, many of Dr. Morgan's supporters have taken Thurber's memorable title ""The Male Animal"" quite literally."
"wsj_0949","and","subsequently","Stevric's principals, Richard and Steven Buckley, said they led the acquisition group that acquired the Nathan's Famous Inc. restaurant chain","served as the top officers of the company."
"wsj_0953","and","also","Each of the four parties bidding for PS of New Hampshire proposes a complex financial package to satisfy creditors and shareholders","proposes a formula to limit rate increases to satisfy the state."
"wsj_0956","and","yet","In the engine department, several companies displayed experimental models that within a decade could provide power equal to today's engines","take up only half the space, allowing for shorter hoods."
"wsj_0956","but","after","True, Ford was declared the winner Sunday,","the Honda driver who crossed the finish line first was disqualified because it hit another car and skid momentarily out of bounds."
"wsj_0966","and","so","","our institutions of higher learning lurch from scandal to scandal on gridiron and basketball court, while the casualties mount."
"wsj_0966","and","when","Discrepancies go unexplained in ""Confidential"" (one ex-player claims he received $4,000 to $5,000 for his season football tickets while others said theirs brought only a few hundred dollars),","Mr. Keteyian can't nail down something, like who really owned a car driven by Husker tailback Doug Dubose, he simply reprints his notes."
"wsj_0971","and","while","","the job is half done, Brooks is still bitter."
"wsj_0972","but","by comparison","",", this fluffy comedy seems like a gem."
"wsj_0975","but","because","","the University of California, like many other universities, shares its royalties with researchers, it may disqualify itself from federal funds under the proposed guidelines, Mr. Daly says."
"wsj_0975","and","if","","that happens, the entire process of transferring technology to the marketplace could be harmed, they say."
"wsj_0975","but","before","","Athena was able to get an exclusive license to the technology, the Federal Register published most of the details, ""giving all of the company's potential competitors a chance to exploit it,"" Mr. Bock says."
"wsj_0975","but","when","","agencies like the NIH circulate guidelines, they've often already formulated policy, veteran scientists say."
"wsj_0977","but","also","In a statement, Mr. Merksamer described the filing as a ""legal technicality,""","said that ""our inability to obtain trade credit, combined with a need to ensure that our stores were properly stocked for the Christmas season, necessitated our filing Chapter 11."""
"wsj_0978","but","instead","The broker winning the business doesn't charge commissions,","profits by buying or selling for less than the overall package price."
"wsj_0980","and","then","Typically, he will be billed only several weeks after the expenditure,","has another couple of weeks before he has to pay the bill."
"wsj_0983","but","when","","the market moves against the fund, investors lose more than other junk holders because the market decline is magnified by the amount the fund is leveraged."
"wsj_0984","and","if","","she and the Battery Park City Authority have their way, her horticulturally inept plan will soon go public as a real garden ""artwork"" in the downtown complex."
"wsj_0984","and","by","","substituting yet another landscape architect, Nicholas Quennell, he insists he can achieve that and other accommodations to gardening reality while still preserving the ""artistic vision"" of a ""truly great artist."""
"wsj_0989","and","before","","it does, they're trying to cut back on the clutter that created the situation in the first place."
"wsj_0990","and","then","Their reluctance to support the proposal is another blow to the capital-gains cut, which has had a roller-coaster existence since the beginning of the year, when it was considered dead","suddenly revived and was passed by the House."
"wsj_0996","and","if","If after such Reconsideration two thirds of that House shall agree to pass the Bill, it shall be sent, together with the Objections, to the other House, by which it shall likewise be reconsidered,","approved by two thirds of that House, it shall become a Law. . . ."
"wsj_0996","and","before","Every Order, Resolution, or Vote to which the Concurrence of the Senate and House of Representatives may be necessary (except on a question of Adjournment) shall be presented to the President of the United States;","the Same shall take Effect, shall be approved by him, or being disapproved by him, shall be repassed by two thirds of the Senate and House of Representatives, according to the Rules and Limitations prescribed in the Case of a Bill."
"wsj_1002","and","as","","the applause dies down in showrooms along Seventh Avenue and Broadway, stylishly clad Campeau buyers will begin writing orders."
"wsj_1007","and","then","Many traders forecast a continuation of the market's recent bearish trend and predict the U.S. currency will remain stuck in its relatively narrow ranges in the near term","shift lower."
"wsj_1010","but","instead","The group didn't make a formal offer,","told UAL's advisers before the most-recent board meeting that it was working on a bid valued at between $225 and $240 a share."
"wsj_1017","and","though","The vote yesterday was the most partisan in many years,","the Democratic leadership is ambivalent about how to address the abortion issue, the debate is increasingly measured in party terms."
"wsj_1017","and","though","At a recent White House meeting, Rep. Silvio Conte (R., Mass.), the ranking minority member of the House Appropriations Committee, argued with his friend Mr. Bush against a veto,","Mr. Conte and Minority Leader Robert Michel of Illinois stood with the president yesterday, they are plainly uncomfortable with his position."
"wsj_1017","but","if","""","you support him over rape victims, this may be your last term."""
"wsj_1026","and","now that","","the price has fallen below $19.65, which many had said showed considerable resistance, some traders and analysts figure there's little to stop the price from going lower on technical decisions."
"wsj_1026","and","thus","Another said that if China was a buyer, it would be the earliest that country had made purchases since the 1979-80 crop year,","would be a bullish sign."
"wsj_1036","and","then","The Dow Jones Industrial Average, which plunged more than 80 points in early trading Tuesday","recovered nearly all of its losses by the close, fell 5.94 to 2653.28 in the latest session."
"wsj_1037","but","although","","Japanese companies increased their U.S. auto output by 42% from January to September compared with the year-earlier period, their exports to the U.S. will drop only 9% this year, Nikko Research Center estimates."
"wsj_1052","but","unless","","they continued to grow, TW, based in Paramus, N.J., would have run into trouble."
"wsj_1052","and","by","","adding equity, DLJ would seem to be acknowledging that credit risk was a concern."
"wsj_1053","if","indeed","","Mrs. Thatcher has one opponent that could throw her off political course it is Britain's mysteriously intractable inflation problem."
"wsj_1054","and","as","The guest paid his bill at the resort hotel,","he departed he noticed a sign saying, ""Have You Left Anything?"""
"wsj_1055","but","while","","the Composite gained 1.19, to 462.89, many issues didn't participate in the advance."
"wsj_1057","and","yet","""","his company is one reason why rights are so high today."""
"wsj_1057","and","then","A Yale law school graduate, he began his career in corporate law","put in years at Metromedia Inc. and the William Morris talent agency."
"wsj_1057","later","if","Other admen, however, say rates could rise","ad spending surges."
"wsj_1058","and","while","","sellers of the equipment and companies ""monitoring"" employees have few qualms, right-to-privacy advocates and some lawmakers are alarmed."
"wsj_1059","and","because","IBM has already indicated it will have problems in the quarter, partly because of a delay in shipping a high-end disk drive","the strong dollar will cut significantly the value of IBM's overseas earnings when translated into dollars."
"wsj_1062","but","now that","","Congress has missed the legal deadline for meeting the Gramm-Rudman targets, the White House said it has returned to its original view that a capital-gains cut should be part of the deficit-reduction bill, on which Congress continues to work."
"wsj_1094","and","finally","""I do not support federal funding for abortions except where the mother's life is threatened,"" he proclaimed,","vetoed the measure last weekend."
"wsj_1094","but","since","","the Supreme Court's Webster vs. Reproductive Health Services decision this year changed the political landscape of the abortion issue, the president seemingly has tried just as hard to avoid saying anything more unless pressed to the wall."
"wsj_1094","but","when","","the high court ruled in the Webster case in July, the president began to lower the volume."
"wsj_1099","and","although","","the recent turmoil in the stock and junk-bond markets, by making it harder to arrange takeover financing, has eased some of the pressure on Mr. Corry, it doesn't end the takeover threat."
"wsj_1099","but","after","","joining the tax department of a USX subsidiary 30 years ago, he set the modest goal of becoming tax manager by the age of 46."
"wsj_1099","and","as","What's more, the takeover occurred as natural-gas prices were falling","Texas Oil & Gas reported its first annual loss in 28 years."
"wsj_1099","but","when","","the two men met in New York a day after Mr. Icahn disclosed the rise in his USX stake, Mr. Corry learned that Mr. Icahn wanted him to sell all of Texas Oil -- not just its reserves of about 1.2 trillion cubic feet of natural gas and 28 million barrels of oil but also its pipeline, gas-gathering and contract-drilling operations."
"wsj_1099","and","then","",", ""he won't panic,"" says J. Bruce Johnston, a former USX executive and now a labor and benefit consultant with Adler Cohen & Grigsby in Pittsburgh."
"wsj_1101","and","thus","Israel has launched a new effort to prove the Palestine Liberation Organization continues to practice terrorism,","to persuade the U.S. to break off talks with the group."
"wsj_1103","and","when","The mismatch exposed the company to a high degree of interest-rate risk,","rates moved unfavorably -- beginning late last year and continuing into this year -- ""it cost them,"" Mr. Kriz said."
"wsj_1111","and","thus","In addition, Mrs. Lidgerwood said, Norfolk is likely to draw down its cash initially to finance the purchases","forfeit some interest income."
"wsj_1121","but","after","","a fleet of 336 gargantuan earthmoving vehicles belonging to De Beers Consolidated Mines Ltd., the world's diamond kingpins, do their work."
"wsj_1122","and","also","They plan to expand the home site by buying five adjoining acres for $200,000, borrowed against a first mortgage on the five acres","collateralized by the 15 acres."
"wsj_1128","but","no matter","","how much Japan gets under our skin, we'll still have mom and apple pie."
"wsj_1128","and","so","""The Japanese apple market is very keyed to high quality,"" says David Lane, a scientist at a Canadian horticulture research center in Summerland, British Columbia,","apples are more of a delicacy there than a big food commodity."
"wsj_1142","and","then","The effects on the market of the mostly computer-driven sell-off among exchange-listed stocks irked many market makers, who watched the Nasdaq Composite Index tumble in sympathy with the Dow Jones Industrial Average,","saw it get left behind in the subsequent rally."
"wsj_1143","and","as","","we did not believe the tendentious claims of the Congressmen and arms-control advocates who visited Krasnoyarsk, we are in no way persuaded by the assent to the tainted-meat theory by a U.S. team of scientists who met with Soviet counterparts in Washington last year."
"wsj_1143","and","indeed","Biological weapons violations have figured little in political debate,","have not been pressed vigorously enough by the U.S. government."
"wsj_1146","but","with","","inflation raging, grain in the barn will still be a safer bet for the private farmer than money in the bank."
"wsj_1146","and","then","""They started,","abandoned it."""
"wsj_1149","and","yet","He said ours is supposed to be ""a government of laws not of men,""","RICO defenders ""tell us that we should rely on prosecutorial discretion to protect against overbreadth of RICO."""
"wsj_1151","but","as","","stock prices recovered some of the early losses, so did the U.S. currency."
"wsj_1154","when","then","In an invention that drives Verdi purists bananas, Violetta lies dying in bed during the prelude, rising deliriously","she remembers the great parties she used to throw."
"wsj_1158","but","even if","","no conscious life had evolved here at all, the universe is a big place, and given the right conditions, sympathetic to creating some form of life."
"wsj_1160","and","so","California's so-called Gann limit effectively prevents the state from spending new tax money","drastically limits its options in an emergency."
"wsj_1160","and","then","","it will be required to lower taxes by a corresponding amount during a three-year period after the temporary tax increase ends, said Cindy Katz, assistant director of the state department of finance."
"wsj_1164","but","then","United met the $38","withdrew."
"wsj_1172","but","while","","September exports rose to #8.43 billion, imports shot up to #10.37 billion."
"wsj_1184","and","therefore","In order to show that all of its units had corrected billing problems","should become eligible again for new contracts, prosecutors contend that ""high-level GE executives"" and company lawyers provided ""misleading statements"" to then-Air Force Secretary Verne Orr and other Pentagon officials during a series of meetings in 1985."
"wsj_1189","and","thus","The office, an arm of the Treasury, said it doesn't have data on the financial position of applicants","can't determine why blacks are rejected more often."
"wsj_1189","but","when","","blacks are getting their loan applications rejected twice as often as whites -- and in some cities, it is three and four times as often -- I conclude that discrimination is part of the problem."""
"wsj_1201","but","then","","steady, concentrated buying by Bear, Stearns & Co., which frequently buys stock for corporate raiders, took hold and steadied the fall in UAL, which eventually buoyed the entire market."
"wsj_1201","but","later","And a spokesman for Reliance Group Holdings Inc., which had held 7% of UAL before the first buy-out bid","reduced its holdings below 5%, wouldn't comment."
"wsj_1203","and","then","December copper opened near Monday's close, tried to rally but failed,","triggered stop-loss orders on its way down to settle at $1.1510 a pound, off 4.50 cents for the day."
"wsj_1203","but","though","","a weakening economy implies reduced demand, Mr. Kaiser said that Third World copper-producing countries haven't any choice but to sell copper."
"wsj_1203","and","then","When the market fell below that level on Monday","yesterday couldn't climb above that level, traders started selling out their positions."
"wsj_1203","but","then","COCOA: Futures at first continued the rally begun on Monday,","faltered and closed lower."
"wsj_1203","and","then","The December contract opened just under Monday's close, triggered some previously placed buy orders just above $1,030 a metric ton, pushing the price to $1,040,","encountered heavy selling by traders who buy and sell for their own accounts and by commercial interests."
"wsj_1203","but","while","","further modest declines might be ahead, Mr. Hafer said it would be difficult to get through resistance levels just above yesterday's high."
"wsj_1206","then","later","KKR loaded up the cable and television company with debt in an 1985 buy-out,","sold Storer's cable operations at a fat profit."
"wsj_1208","but","as","","the fright began to spread through the S&P pit, the big brokerage firms came in and bought futures aggressively."
"wsj_1208","because","when","But I think we are losing credibility","the market does this, it doesn't present itself as a rational investment."
"wsj_1208","but","if","","you overlook all this, it is a beautiful market for investment still."""
"wsj_1246","and","so","He said some infected cells may not have the relevant antigen","wouldn't be killed even after exposure to the antibody."
"wsj_1248","and","because","","British Air is issuing convertible bonds rather than ordinary shares, the share price won't be directly hurt by any surplus left with underwriters after they try to sell the issue in the open market."
"wsj_1249","and","then","At Chemfix Technology Inc., each supervisor's recommendation must be approved by the next boss up the line,","sanctioned by a salary review committee."
"wsj_1256","but","rather","Through these investigations we do not focus on the street drug user,","we target and attack major drug-trafficking organizations that control a large segment of the drug market."
"wsj_1261","later","when","""They may get passed up","other publishers get their acts together, but for now they are the quickest offering the most extensive plan,"" he said."
"wsj_1262","but","when","Your article points out the traps people fall into,","reviewing those traps one sees just about all of them could have been avoided."
"wsj_1267","and","later","A few attorneys offer horror stories of jobs botched by consultants or of overpriced services -- as when one lawyer paid a consultant (not at Litigation Sciences) $70,000 to interview a jury after a big trial","read more informative interviews with the same jurors in The American Lawyer magazine."
"wsj_1269","but","even though","","by some estimates it might cost the world as much as $100 billion between now and the year 2000 to convert to other coolants, foaming agents and solvents and to redesign equipment for these less efficient substitutes, the Montreal Protocol's legions of supporters say it is worth it."
"wsj_1269","but","if","","there is no impending threat, it can get to be very expensive."
"wsj_1271","but","while","","traffic was heavy early in the commute over the Golden Gate, by 8 a.m. it already had thinned out."
"wsj_1272","and","when","","Mr. Kasparov strode into the playing hall, he called the outcome."
"wsj_1272","and","when","","a defensive move was called for, D.T. passed up an obvious pawn move and instead exposed its queen to immediate tactical threats."
"wsj_1272","and","instead","And when a defensive move was called for, D.T. passed up an obvious pawn move","exposed its queen to immediate tactical threats."
"wsj_1284","for","once","","information flows, public participation follows and repression becomes difficult to reimpose."
"wsj_1286","but","afterward","We know that very early exposure to schooling improves performance in the first grade,","the difference is quickly washed away."
"wsj_1296","but","nonetheless","Ohio, the District of Columbia, Tennessee and Illinois have been less resistant to Drexel than the other six states,","have refused to settle so far, say those familiar with the discussions."
"wsj_1296","and","even if","Drexel says it doesn't expect any of its state brokerage licenses will be revoked,","some are, its securities business wouldn't be directly hurt."
"wsj_1297","and","because","The programming division saw a decline in operating cash flow because the year-ago quarter included a $12 million dividend from Turner Broadcasting System","the quarter includes expenses associated with the Nov. 15 launch of HBO's Comedy Channel."
"wsj_1299","and","also","He was co-chairman of Mr. Bush's Arizona campaign committee in last year's election,","worked for Mr. Bush in the 1980 election."
"wsj_1302","and","even then","""If Lloyd's wants #70,000 out of me they will have to take everything I've got --","I don't know if it will be enough,"" she says."
"wsj_1303","and","while","","the Japanese have stepped up their purchases of U.S. shares in the past several months, they have shown themselves in the past to be fickle investors."
"wsj_1307","and","if","","Congress is going to assume authority to micromanage foreign policy, it's going to have to take some of the responsibility too."
"wsj_1307","but","instead","The CIA's Deputy Director of Operations, Richard Stoltz, tried to smooth things over a few days later,","simply underlined Mr. Webster's point."
"wsj_1317","and","although","","Mr. Roman and WPP's chief executive, Martin Sorrell, have gone out of their way to be publicly supportive of each other, people close to Mr. Roman say he was unhappy giving up control of the company."
"wsj_1318","and","then","The operator of cable-television networks said the new Turner Pictures unit will produce movies that will premiere on Turner Broadcasting's Turner Network Television channel, or TNT,","will be released internationally in movie theaters."
"wsj_1318","and","when","""When that occurs,","the time is right, we'll release the films in the U.S.,"" he said, adding that Turner Pictures may develop such movies next year for domestic release in 1991."
"wsj_1320","but","because","","first-quarter demand is normally the weakest of the year, several market participants say, OPEC production will have to decline to keep prices from eroding further."
"wsj_1320","and","when","The New York market made its high for the day on the opening","it dropped below the $1.23-a-pound level, selling picked up as previous buyers bailed out of their positions and aggressive short sellers -- anticipating further declines -- moved in."
"wsj_1322","and","if","""It's a segmented market,","you have a good, strong credit, people have an appetite for it,"" he said."
"wsj_1327","and","thereby","Ms. Rose, who teaches literature at Wesleyan University, quickly proceeds to overemphasize, claiming that Baker's dancing ""had uncovered a new region for desire""","ignoring centuries of tributes to the callipygous."
"wsj_1327","and","when","The Free French wore black arm bands,","she sang ""J'ai deux amours"" they wept."
"wsj_1327","but","as","In her introduction, Ms. Rose writes that she feels she has much in common with Baker,","""Jazz Cleopatra"" goes on, it seems more rushed, as though the author were growing less interested."
"wsj_1331","and","then","The government's credibility in the GAF case depended heavily on its star witness, Boyd L. Jefferies, the former Los Angeles brokerage chief who was implicated by former arbitrager Ivan Boesky,","pointed the finger at Mr. Sherwin, takeover speculator Salim B. Lewis and corporate raider Paul Bilzerian."
"wsj_1331","but","only if","American Home Products Corp. wants to acquire Robins,","all legal challenges to the plan are exhausted."
"wsj_1349","and","even when","On the chairman's motion, the California package was subsequently reduced to less-binding report language,","this was accepted as such on a voice vote, Mr. Whitten pointedly opposed it."
"wsj_1366","but","at the same time","",", Mr. Gonzalez hasn't forgotten a confrontation over Mr. Wall during House-Senate negotiations over S&L bailout legislation during the summer."
"wsj_1368","but","while","","U.S. interest may be big and growing, the difficulties that have stymied deals in the past show no sign of abating."
"wsj_1373","and","while","","today's non-volatile chips -- such as electronically erasable programmable read-only memory chips -- can't be used in a computer's central memory because they ""learn"" data slowly, ferroelectric chips accept data at very high speeds."
"wsj_1376","and","while","""I do it innately and pathologically,","it may occasionally get me into trouble, it's also gotten me access to parties and society,"" he says."
"wsj_1376","and","because","It has gotten a bad rep because its once heavily polluted Cuyahoga River caught fire, because former Mayor Ralph Perk set his hair on fire with an acetylene torch","its proposed Rock 'n' Roll Hall of Fame was recently refused an urban-development grant."
"wsj_1387","and","as","","it unfolds, it's revealing some of the more tangled and seamier aspects of Japanese society."
"wsj_1387","and","because","","the pachinko industry is regularly at the top of annual lists for tax evasion, some observers estimate the real income could be as much as 20 trillion yen."
"wsj_1387","because","although","The issue is further complicated","the organizations represent Korean residents, those residents were largely born and raised in Japan and many speak only Japanese."
"wsj_1388","but","once","""","Perlman started playing, I didn't give a damn about basketball. . . ."
"wsj_1389","and","if","","you ""consider the changing distribution of credit,"" Mr. Durkin says, ""much of the increase in debt in recent years is due to increasing credit use by higher-income families,"" that is, ""those probably best able to handle it."""
"wsj_1391","but","before","","import growth slowed, China's buying spree in the first half already had taken its toll on foreign-exchange reserves."
"wsj_1394","but","though","","couriers work as many as 60 hours a week during the autumn rush, they leave early during slack times while still being assured of a minimum paycheck."
"wsj_1394","but","though","","most of the 1,087 Federal pilots are believed opposed, it is unclear just how much their loyalty to Mr. Smith has been eroded."
"wsj_1397","and","when","","he's told ""Try a little tenderness,"" he shoots back ""I'm going home to try a little linguine."""
"wsj_1405","and","then","So, following both the style he pursued as President Ford's national security adviser and the recommendations of the Tower Commission, Gen. Scowcroft has pruned the NSC staff and tried to ensure that it sticks to its assigned tasks -- namely, gathering the views of the State Department, Pentagon and intelligence community; serving as an honest broker in distilling that information for the president","making sure presidential decisions are carried out."
"wsj_1405","but","as","","every previous NSC adviser has, Gen. Scowcroft now will have to mull at what point the NSC staff becomes too lean and too restrained."
"wsj_1419","and","then","Qintex Australia was ""going to pay more than $1 billion for MGM/UA","they couldn't come up with the far smaller sum of $5.9 million."""
"wsj_1424","and","then","In the port of Berbera, for example, hundreds of men of the rival Issak clan were rounded up in May 1988, imprisoned,","taken out at night in groups of five to 50 men to be executed without any judicial process whatsoever."
"wsj_1440","and","so","Also, the smaller growth stocks aren't widely traded,","are harder to buy and sell quickly than blue chips."
"wsj_1453","but","while","","the merits of diversification shine through when times are tough, there's also a price to pay: A diversified portfolio always underperforms an undiversified portfolio during those times when the investment in the undiversified portfolio is truly hot."
"wsj_1453","but","when","","the dollar rises against major foreign currencies, as it did for much of this year, the dollar value of these funds declines."
"wsj_1457","until","after","He waits to talk about it","he gets caught."""
"wsj_1463","so","when","""","there's talk and concern about the economy, it's not unreasonable for a portion of the buying public to defer purchases."""
"wsj_1464","but","when","","it became clear that rates had stabilized and that the Fed's credit-easing policy was on hold, bond yields jumped and prices tumbled."
"wsj_1464","but","once","","the new securities are digested, they expect investors to focus on the weak economic data."
"wsj_1469","but","when","At first it attributed the slump to temporary business disruptions,","no orders were logged in August and September, manager Donald Lai became convinced that business would be bad for many months."
"wsj_1469","but","when","","foreign traders tried to do business, they discovered that the eagerness of Chinese trade officials was just a smokescreen."
"wsj_1474","and","because","The small U.S. firms are persisting because of their strong positions in patents,","the prize is still there to be seized."
"wsj_1480","and","yet","The question for investors is, how to protect these returns","reach a little for additional gains."
"wsj_1499","and","then","The bill gets signed into law","the administration watches helplessly, wondering where all the ""unexpected"" costs came from."
"wsj_1499","so","instead of","","building more efficient modern plants, utilities stick scrubbers on the old plants."
"wsj_1499","but","while","","they are unloading these burdens, the United States is close to creating three more big ones."
"wsj_1504","and","then","An adjudicator system -- that is, an investigator who acts first as a fact-finder","switches hats and arbitrates the facts -- has such advantages as speed, flexibility and maximum privacy."
"wsj_1531","and","after","People familiar with the company say the board isn't likely to give quick approval to any offer substantially below the $300-a-share, $6.79 billion buy-out bid that collapsed last week after banks wouldn't raise needed loans","a key partner, British Airways PLC, dropped out."
"wsj_1549","but","if","""","he's sharp and quick, he has a chance."""
"wsj_1550","and","then","It would go along doing nothing but dissociating the heavy water","at totally unpredictable times, it would begin producing excess heat for as long as 10 or 11 hours before quieting down."
"wsj_1550","but","later","Messrs. Fleischmann and Pons initially reported indirect evidence of neutrons being produced in their experiment","conceded the measurements were questionable."
"wsj_1551","and","also","Rates for The Asian Wall Street Journal, published and printed in Hong Kong","printed in Singapore and Tokyo, will rise 8%."
"wsj_1554","yet","if","","gold prices improve, silver prices could rally sharply, he says."
"wsj_1556","but","once","","a franchisee agrees to a promotional program, the franchiser can demand full participation to the very end, says Lew Rudnick, a principal of Rudnick & Wolfe, a Chicago law firm with franchise industry clients."
"wsj_1562","and","even when","","a specific order is acceptable to an exchange, a brokerage firm can refuse to enter it for a customer."
"wsj_1562","and","then","One risk: Investors may regret the restriction if the stock reaches 54","falls."
"wsj_1562","but","if","","the market moves quickly enough, it may be impossible for the broker to carry out the order because the investment has passed the specified price."
"wsj_1562","but","if","","the investment can't be bought or sold immediately, the order is automatically canceled."
"wsj_1562","and","then","One-Cancels-The-Other Order: This is really two orders in one, generally for the same security or commodity, instructing floor brokers to fill whichever order they can first","cancel the other order."
"wsj_1562","and","then","On Oct. 19, 1987, some investors learned the consequences of entering ""good-til-canceled limit orders""","forgetting about them."
"wsj_1564","but","while","","history can suggest what is reasonable to expect there's no guarantee that the past will repeat itself."
"wsj_1568","and","then","But above all, this is the national headquarters for boiler-room operators, those slick-talking snake-oil salesmen who use the telephone to extract money from the gullible and the greedy","vanish."
"wsj_1569","but","if","That won't matter if they are held to maturity,",", for any reason, the parents need to sell them before then, there could be a severe loss of principal."
"wsj_1570","but","while","","IRS computers focus routinely on target groups like these, the agency has assigned many agents to special projects that need more personal attention."
"wsj_1570","and","now that","","returns must show dependents' Social Security numbers, the IRS wants to see which dependents show up on more than one return -- and which dependents turn out to be deceased."
"wsj_1572","because","in the end","",", these people always wind up asking themselves the same question: ""How could I be so stupid?"""
"wsj_1574","so","if","","anything happened to me, I'd want to leave behind enough so that my 33-year-old husband would be able to pay off the mortgage and some other debts (though not, I admit, enough to put any potential second wife in the lap of luxury)."
"wsj_1574","and","thus","Second, the $5,760 I'd get back would be much diminished in purchasing power by 10 years of inflation; Amex, not I, would get the benefit of the investment income on my money, income that would have exceeded the inflation rate","given the company a real profit."
"wsj_1574","and","if","If I die early, I win -- a hollow victory, since I can't enjoy it --","I live long, the insurer wins."
"wsj_1582","but","although","","56% of the respondents in the study indicated that mental-health problems were fairly pervasive in the workplace, there is still a social stigma associated with people seeking help."
"wsj_1596","and","when","""Margins will remain under pressure,","the new mainframe does ship, I'm not sure it will be a big winner."
"wsj_1600","and","then","Indexing for the most part has involved simply buying","holding stocks in the correct mix to mirror a stock market barometer, such as Standard & Poor's 500-stock index, and match its performance."
"wsj_1600","but","also","One simple approach is to exclude S&P 500 companies considered bankruptcy candidates; this can avoid weak sisters,","can hurt when a company like Chrysler Corp. rebounds."
"wsj_1615","and","by","He hurt himself further this summer by bringing homosexual issues into the debate;","wavering on this issue and abortion, he has weakened his credibility in what is already a mean-spirited campaign on both sides."
"wsj_1615","yet","after","","promising to appoint Hispanics to high posts in state government, he is unable to say whether he has ever employed any in his congressional office."
"wsj_1615","and","instead","Appealing to a young audience, he scraps an old reference to Ozzie and Harriet","quotes the Grateful Dead."
"wsj_1617","and","then","""Most people will come on the weekend, the slopes will be overcrowded","these {new skiers} won't come back."
"wsj_1620","but","when","","Harley last week publicly questioned the legality of the group's filing procedures, the Rochester, N.Y., investor said ""we complied with every law,"" and he denied any wrongdoing."
"wsj_1622","and","when","","any component of the market -- cash, futures or options -- loses liquidity, the price discovery system (the way prices are determined) becomes flawed or is lost entirely for a time."
"wsj_1623","and","also","Investors, he advises, ""should be cautious,"" holding fewer stocks than usual","shunning bonds."
"wsj_1624","but","while","","the overall market improved, the new-issue junk-bond market continued to count casualties, even as junk-bond prices rose."
"wsj_1634","and","before","","the week was out, Sony had offered Mr. Guber and his partner, Jon Peters, the most lucrative employment contracts in the history of the movie business."
"wsj_1634","and","then","Their stock in trade as ""executive producers"" is sniffing out hot properties, locking them up","getting big studios to bankroll and distribute them."
"wsj_1634","and","when","","you're making a movie this big, you need all the help you can get,"" Mr. De Palma adds."
"wsj_1634","and","ultimately","Producers Don Simpson and Jerry Bruckheimer, who shepherded ""Flashdance"" through several scripts","produced the movie, bristle when Messrs. Guber and Peters take credit for the film."
"wsj_1634","but","though","","""people in town may ask why Guber needs Peters, it's good to have a partner, and obviously the chemistry works,"" says Steven Tisch, a producer who once worked for Mr. Guber."
"wsj_1635","and","thus","Issues typically come with ""credit enhancements,"" such as a bank letter of credit,","have received high credit ratings."
"wsj_1635","and","therefore","""A day of reckoning is coming where we think the market will place a high premium on the highest-quality debt issues,","we think the best debt investment is U.S. government bonds,"" says Craig Corcoran of Davis/Zweig Futures Inc., an investment advisory firm."
"wsj_1643","but","then","","the noise turned into a roar."
"wsj_1643","and","then","At the Stick, while the world shook, I thought of that morning","it struck me that this time was different."
"wsj_1643","and","by then","",", expensive automobile sound systems were keeping the gridlocked parking lot by the bay informed about the fire causing the big black plume of smoke we saw on the northern horizon."
"wsj_1646","but","with","","industrial growth stagnant and inflation showing signs of easing, some voices may call for measures to pump new life into the economy."
"wsj_1646","but","while","","pumping more money into the economy would bring relief to many industries, it also runs the risk of triggering another period of runaway growth and steep inflation."
"wsj_1647","and","also","The Senate Finance Committee voted to expand the deduction for individual retirement accounts,","to bring back income averaging for farmers, a tax preference that allows income to be spread out over several years."
"wsj_1650","and","if","""It may not be weeks or months, but they are also opportunistic","they feel comfortable, they will move on a deal,"" he said."
"wsj_1652","but","if","For the nine months, Amoco said that net income fell to $1.29 billion from $1.69 billion","unusual items are excluded, operations produced essentially flat results."
"wsj_1677","and","if","","a user is busy, ""he can set it for crisis mode: `Don't bother me with reports until Monday. '"""
"wsj_1685","but","if","We know they are dangerous,","handled with care, their benefits far outweigh any risk to the environment."
"wsj_1687","and","thus","That contract fell a total of 5.75 cents during the first three days of this week, mostly in reaction to last Friday's stock market plunge, which prompted concern that it might signal a similar sharp slowing of the U.S. economy","reduced demand for copper, a leading industrial metal."
