"File Number","Explicit Connective","Arg1 Complete","Arg2 Complete","Explicit Sense1","Explicit Sense2"
"wsj_0508","but","Of course these turf battles are unseemly, wasteful and potentially dangerous and should be resolved in the interest of national security,","Mr. Lehman seems to be part of the problem rather than part of the answer.","Comparison.Concession.Arg2-as-denier",""
"wsj_0508","because","Isn't this the same guy who resigned as Navy secretary","he couldn't get his 1,000-ship Navy?","Contingency.Cause.Reason",""
"wsj_0508","but","I personally do not want to hasten Mr. Lehman's demise,","I can see him figuring prominently in his own article.","Comparison.Concession.Arg2-as-denier",""
"wsj_0509","before","Mr. Lorenzo, 49 years old, is reclaiming the job that was his","Mr. Corr signed on.","Temporal.Asynchronous.Precedence",""
"wsj_0509","because","The 48-year-old Mr. Corr was hired","he was credited with returning Trans World Airlines Inc. to profitability while he was its president from 1986 to 1988.","Contingency.Cause.Reason",""
"wsj_0509","while","The 48-year-old Mr. Corr was hired largely because he was credited with returning Trans World Airlines Inc. to profitability","he was its president from 1986 to 1988.","Temporal.Synchronous",""
"wsj_0509","and","Continental is Texas Air's flagship","was built painfully to its present size under Mr. Lorenzo after emerging from bankruptcy proceedings in 1986.","Expansion.Conjunction",""
"wsj_0509","after","Continental is Texas Air's flagship and was built painfully to its present size under Mr. Lorenzo","emerging from bankruptcy proceedings in 1986.","Temporal.Asynchronous.Succession",""
"wsj_0509","and","During his tenure, Mr. Corr attempted through a series of meetings to inform managers of some of the company's future plans, traveled widely to talk to employees","backed training sessions designed to improve the carrier's image.","Expansion.Conjunction",""
"wsj_0510","when","The company acquired the debt","it paid $155 million to purchase Wilson last year.","Temporal.Synchronous","Contingency.Cause.Reason"
"wsj_0511","and","The companies are followed by at least three analysts,","had a minimum five-cent change in actual earnings per share.","Expansion.Conjunction",""
"wsj_0515","because","That is","Sidhpur has a near-monopoly on the world's supply of flea seed, also known as flea wort or, in Western parlance, psyllium: a tiny, tasteless, obscure seed that, according to early research, may reduce cholesterol levels in the blood.","Contingency.Cause.Reason",""
"wsj_0515","and","They only know of one use for the crop, as a laxative,","with psyllium prices currently languishing in the wake of a bumper crop, they think of the seed as a marginal crop, something to grow between summer wheat crops.","Expansion.Conjunction",""
"wsj_0515","and","You get a rain at the wrong time","the crop is ruined.""","Contingency.Condition.Arg1-as-cond",""
"wsj_0515","without","The staff brags about psyllium's hefty contribution to American regularity,","quite grasping the implications of the research on cholesterol.","Comparison.Concession.Arg2-as-denier",""
"wsj_0515","but","Small crops are grown in Pakistan, France, Spain, Italy, Belgium and Brazil,","their quality can't compare to that of Indian psyllium.","Comparison.Concession.Arg2-as-denier",""
"wsj_0518","if","The reasonable first-year rates can be followed by increases of 60% or more","a covered employee files a major claim, they complain.","Contingency.Condition.Arg2-as-cond",""
"wsj_0518","after","Insurance premiums for one small Maryland concern went up 130% in less than two years, the last increase coming","one of its three workers developed a herniated disk.","Temporal.Asynchronous.Succession","Contingency.Cause.Reason"
"wsj_0518","and","She said her employer can't afford the rate increases,","she fears she won't find another job with a benefit plan covering her ailment.","Expansion.Conjunction",""
"wsj_0518","if","The House Energy and Commerce Committee's health subcommittee, headed by Democratic Rep. Henry Waxman of California, is looking into complaints that small businesses not only can't keep reasonably priced employee-health insurance","claims are filed, but often can't get coverage at all if a worker is termed medically uninsurable.","Contingency.Condition.Arg2-as-cond",""
"wsj_0518","if","The House Energy and Commerce Committee's health subcommittee, headed by Democratic Rep. Henry Waxman of California, is looking into complaints that small businesses not only can't keep reasonably priced employee-health insurance if claims are filed, but often can't get coverage at all","a worker is termed medically uninsurable.","Contingency.Condition.Arg2-as-cond",""
"wsj_0518","and","What we're seeing now makes a mockery of the idea of insurance: collect premiums from the healthy, dump the sick","let them pay their own bills.""","Expansion.Conjunction",""
"wsj_0518","or","As larger companies increasingly self-insure,","use reserves to pay their own workers' medical bills, the insurance industry has turned to the small-employer market that was once a backwater for them.","Expansion.Equivalence",""
"wsj_0518","if","""Insurance companies will offer a good rate","no one is sick, but it's a roll of the dice,"" says Rosemary Heinhold of the Small Business Service Bureau, a group representing 35,000 small businesses nationwide.","Contingency.Condition.Arg2-as-cond",""
"wsj_0518","but","""Insurance companies will offer a good rate if no one is sick,","it's a roll of the dice,"" says Rosemary Heinhold of the Small Business Service Bureau, a group representing 35,000 small businesses nationwide.","Comparison.Concession.Arg2-as-denier",""
"wsj_0518","because","In addition, the group says some of its member companies have been denied insurance","individual workers had medical problems that ranged from a mild cardiac condition to psychological counseling after a divorce, hemorrhoids and overweight.","Contingency.Cause.Reason",""
"wsj_0518","because","They say insurance companies use policies aimed at excluding bad risks","their competitors do.","Contingency.Cause.Reason",""
"wsj_0518","when","""You can't ask one carrier to underwrite on social grounds","that might destroy it in the marketplace.""","Temporal.Synchronous","Contingency.Condition.Arg2-as-cond"
"wsj_0518","and","But small-business lobbyists say they support the idea, included in the Kennedy-Waxman bill, of new laws or regulations requiring greater use of community rating, which pegs rates to the use of health care by a community or other large group,","is designed to prevent insurance companies from taking only low-risk small companies as clients.","Expansion.Conjunction",""
"wsj_0518","and","""It just makes healthy businesses subsidize unhealthy ones","gives each employer less incentive to keep his workers healthy.""","Expansion.Conjunction",""
"wsj_0518","without","Mr. Dorsch says the HIAA is working on a proposal to establish a privately funded reinsurance mechanism to help cover small groups that can't get insurance","excluding certain employees.","Contingency.Negative-condition.Arg2-as-negCond",""
"wsj_0518","when","""What good is having health insurance,"" she asked, ""","it's so expensive that it becomes impossible to keep after only one major claim?","Temporal.Synchronous",""
"wsj_0519","and","The Belgian consumer price index rose a provisional 0.1% in October from the previous month","was up 3.64% from October 1988, the Ministry of Economic Affairs said.","Expansion.Conjunction",""
"wsj_0519","but","Belgium's inflation has been rising steadily for the past year,","the ministry said the latest rise is slower than gains in September and August.","Comparison.Concession.Arg2-as-denier",""
"wsj_0520","with","But the company has had weak results so far this year,","earnings declining 43% to $13.7 million, or $1.43 a share, on a 4% decline in revenue to $713.5 million through the first nine months of the year.","Expansion.Level-of-detail.Arg2-as-detail",""
"wsj_0520","after","Nashua announced the Reiss request","the market closed.","Temporal.Asynchronous.Succession",""
"wsj_0520","by","The company said it amended its shareholder rights plan","reducing to 10% from 20% the level of ownership by an outsider that would trigger the issuance to other holders of rights to buy additional shares of Nashua common at half price.","Expansion.Manner.Arg2-as-manner",""
"wsj_0520","because","Alex Henderson, an analyst at Prudential-Bache Securities, said that while Nashua's performance this year has been ""atrocious,"" the company nonetheless is attractive as a ""classic breakup candidate","there's no similarity between its {four} businesses.""","Contingency.Cause.Reason",""
"wsj_0523","and","A spokesman for the retail jeweler said the company would provide more details today","that it expects to reach a definitive agreement by the end of the week.","Expansion.Conjunction",""
"wsj_0524","even though","But in the stock and real-estate markets, activity remains spotty","prices have regained much of their lost ground.","Comparison.Concession.Arg1-as-denier",""
"wsj_0524","now that","That promise sounds shaky","those same leaders have fallen back on Marxist dogma and brute force to crush their nation's democracy movement.","Temporal.Synchronous","Contingency.Cause.Reason"
"wsj_0524","since","Outflows of people and capital from Hong Kong have been growing","the sovereignty issue first arose in the early 1980s.","Temporal.Asynchronous.Succession",""
"wsj_0524","until","But with local investors shaken by China's political and economic turmoil, she says, a genuine recovery may not arrive","Hong Kong can prove itself secure under Chinese sovereignty.","Temporal.Asynchronous.Succession","Contingency.Condition.Arg2-as-cond"
"wsj_0524","as","The rest are split roughly between optimists who expect Hong Kong to hum along","before and pessimists who foresee irreparable chaos.","Comparison.Similarity",""
"wsj_0524","when","Given Hong Kong's record, Mr. Mushkat's ""realists"" might have sounded unduly conservative","the interviews took place two years ago.","Temporal.Synchronous",""
"wsj_0524","unless","Sir Piers Jacobs, Hong Kong's financial secretary, says a further downward revision may be justified","the economy stages a more convincing rally.","Contingency.Negative-condition.Arg2-as-negCond",""
"wsj_0524","since","Many are refugees, having fled China's unending cycles of political repression and poverty","the Communist Party took power in 1949.","Temporal.Asynchronous.Succession",""
"wsj_0525","and","These huge stock-index funds build portfolios that match the S&P 500 stock index or other stock indexes,","frequently swap between stocks and futures to capture profits.","Expansion.Conjunction",""
"wsj_0525","as","Stock-index funds have grown in popularity over the past decade","pension funds and other institutional investors have sought a low-cost way to match the performance of the stock market as a whole.","Temporal.Synchronous","Contingency.Cause.Reason"
"wsj_0525","but","Stock-index funds frequently use the futures markets as a hedging tool,","that is a far less aggressive strategy than stock-index arbitrage, in which traders buy and sell big blocks of stocks with offsetting trades in stock-index futures to profit from price differences.","Comparison.Concession.Arg2-as-denier",""
"wsj_0525","when","Margin rules determine the minimum amount of cash an investor must put up","buying a security.","Temporal.Synchronous",""
"wsj_0525","and","Stock-index arbitrage, because it sells the more ""expensive"" market","buys the ""cheaper"" one, attempts to reestablish the link between the stock and futures markets, and the adjustments are often abrupt.","Expansion.Conjunction",""
"wsj_0525","and","Stock-index arbitrage, because it sells the more ""expensive"" market and buys the ""cheaper"" one, attempts to reestablish the link between the stock and futures markets,","the adjustments are often abrupt.","Expansion.Conjunction",""
"wsj_0526","and","Put these together,","you get programs about rape.","Contingency.Condition.Arg1-as-cond",""
"wsj_0526","by","Because the show has acquired a sense of place","being filmed on location in Georgia, this episode -- in which Althea gets raped by an arrogant white schoolteacher -- does a decent job of tracing the social repercussions of the crime.","Contingency.Cause.Reason","Expansion.Manner.Arg2-as-manner"
"wsj_0526","and","The sole sympathetic character is the prodigal daughter Kate (Jaclyn Smith), and she is tolerable only by virtue of having nothing in common with her kinfolk, a truly benighted pack of Southern Protestants whose grim existence consists mostly of growing peaches","repressing sex.","Expansion.Conjunction",""
"wsj_0526","because","Her Pa (Howard Duff) is the kind of guy who, while saying grace at the supper table, pauses at the word ""sin"" and glares at the daughter he hasn't seen for two decades,","he knows in his heart that she enjoyed what happened in the cold-storage room, and has been indulging the same taste ever since in the fleshpots of Chicago.","Contingency.Cause.Reason",""
"wsj_0526","and","Add the fact that any one of them, including Pa, could be her attacker,","you have a setting that doesn't resemble small-town America, or even Hollywood's nightmare of small-town America, so much as a paranoid feminist dystopia like Margaret Atwood's ""The Handmaid's Tale,"" itself soon to be (you guessed it) a Hollywood movie.","Contingency.Condition.Arg1-as-cond",""
"wsj_0526","when","Josh makes clumsy passes at Kate","she's seething with anger and fear, but we know from the outset that he's not a member of the evil patriarchy.","Temporal.Synchronous",""
"wsj_0526","but","Josh makes clumsy passes at Kate when she's seething with anger and fear,","we know from the outset that he's not a member of the evil patriarchy.","Comparison.Concession.Arg2-as-denier",""
"wsj_0526","when","As for Lincoln, if you can't guess why he's so sweet to his sister","everybody else hates her, then I'm not going to tell you.","Temporal.Synchronous","Comparison.Contrast"
"wsj_0526","while","Her sister-in-law (Amy Wright) is a sniveling prude afraid that Kate will seduce all the married men in town, including a particularly loathsome fellow named Tucker, whose idea of fun is to leave his wife at home tending to her bruises and cigarette burns,","he bullies Kate into a dance that consists of drooling on her while trying to break her ribs.","Temporal.Synchronous",""
"wsj_0526","while","Her sister-in-law (Amy Wright) is a sniveling prude afraid that Kate will seduce all the married men in town, including a particularly loathsome fellow named Tucker, whose idea of fun is to leave his wife at home tending to her bruises and cigarette burns, while he bullies Kate into a dance that consists of drooling on her","trying to break her ribs.","Temporal.Synchronous",""
"wsj_0526","but","In the aforementioned episode of ""In the Heat of the Night,"" we saw Althea being attacked,","we weren't invited to enjoy the spectacle.","Comparison.Contrast",""
"wsj_0526","as","In Mr. Sohmer's film, by contrast, we are urged to share the perverse excitement of the rapist creeping up on his victim,","the camera ogles Kate in various stages of undress and lingers on the sight of her trussed-up body during frequent flashbacks to the rape.","Temporal.Synchronous",""
"wsj_0526","and","In Mr. Sohmer's film, by contrast, we are urged to share the perverse excitement of the rapist creeping up on his victim, as the camera ogles Kate in various stages of undress","lingers on the sight of her trussed-up body during frequent flashbacks to the rape.","Expansion.Conjunction",""
"wsj_0526","and","in which she and Josh are stranded in the city,",", after insisting on separate motel rooms, she knocks on his door to pour out her feelings about the rape -- wearing nothing but a mini-slip and a push-up bra","Expansion.Conjunction",""
"wsj_0527","after","Crossland Savings Bank's stock plummeted","management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.","Temporal.Asynchronous.Succession","Contingency.Cause.Reason"
"wsj_0527","because","Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock","Crossland may not meet the new government capital criteria effective Dec. 7.","Contingency.Cause.Reason",""
"wsj_0527","because","A spokesman said the savings bank may not qualify for the capital requirements",", under the proposed guidelines, its $380 million of preferred stock doesn't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989.","Contingency.Cause.Reason",""
"wsj_0527","and","Standard & Poor's Corp. lowered the rating on Crossland's preferred stock to double-C from single-B-minus","placed it on CreditWatch for possible further downgrade.","Expansion.Conjunction",""
"wsj_0528","and","Open it","two soulful eyes on a boy's brown face peer out from the page, pleadingly.","Contingency.Condition.Arg1-as-cond",""
"wsj_0528","but","No,","he's endangered all the same: His new sitcom on ABC needs a following to stay on the air.","Comparison.Concession.Arg2-as-denier",""
"wsj_0528","and","So producers Alyce and Topper Carew spun their Rolodexes","gathered names of black opinion makers to mount a direct-mail campaign.","Expansion.Conjunction",""
"wsj_0528","by","Still, Mr. Carew thinks he can reach a good chunk of the three million-plus black homes he needs","mailing to the almost 10,000 blacks who form what he calls ""the grapevine.""","Contingency.Condition.Arg2-as-cond","Expansion.Manner.Arg2-as-manner"
"wsj_0528","but","""The grapevine isn't organized,","you and I know it exists,"" says Mr. Carew, referring to the often uncannily small world of black professionals and community leaders.","Comparison.Concession.Arg2-as-denier",""
"wsj_0528","but","I want white America to talk about it, too,","I'm convinced that the grapevine is what's happening.""","Comparison.Concession.Arg2-as-denier",""
"wsj_0528","but","ABC says it is aware of the producers' action,","the mailing was sent without the network's blessing.","Comparison.Concession.Arg2-as-denier",""
"wsj_0528","but","Meanwhile, as the Sunday evening show struggles to stay afloat against the tough competition of ""Murder, She Wrote,"" the grapevine idea is threatening to turn into a weed: The tactic apparently has inspired sample viewings,","accolades are slow in coming.","Comparison.Concession.Arg2-as-denier",""
"wsj_0528","but","Doug Alligood, a black advertising executive who tracks black viewing patterns, gives the Carews an ""A"" for marketing moxie,","isn't alone in his lukewarm reaction.","Comparison.Concession.Arg2-as-denier",""
"wsj_0529","and","TransCanada PipeLines Ltd. said it plans to shift its headquarters to Calgary, Alberta, from Toronto next year to cut costs","be closer to the upstream natural-gas industry.","Expansion.Conjunction",""
"wsj_0530","and","But with sales growth sluggish","other men's stores putting on the heat, the venerable retailer can no longer afford such a smug attitude.","Expansion.Conjunction",""
"wsj_0530","and","So two weeks ago, thousands of Brooks Brothers charge customers -- customers conditioned to wait for twice-yearly clearance sales -- got a surprise: an invitation to come in","buy any one item for 25% off.","Contingency.Purpose.Arg2-as-goal",""
"wsj_0530","and","Brooks Brothers hopes that shaking its time-honored traditions will attract more young men and more women","change consumer perceptions about its range of merchandise.","Expansion.Conjunction",""
"wsj_0530","given","Fashion industry consultants also question whether the company can make significant strides in its women's business,","that its customer base is less established and that conservative business dress for women is on the decline.","Contingency.Cause+Belief.Reason+Belief",""
"wsj_0530","and","Fashion industry consultants also question whether the company can make significant strides in its women's business, given that its customer base is less established","that conservative business dress for women is on the decline.","Expansion.Conjunction",""
"wsj_0530","by","Alan Smith, president of Marks & Spencer North America and Far East, says that Brooks Brothers' focus is to boost sales","broadening its merchandise assortment while keeping its ""traditional emphasis.""","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_0530","while","Alan Smith, president of Marks & Spencer North America and Far East, says that Brooks Brothers' focus is to boost sales by broadening its merchandise assortment","keeping its ""traditional emphasis.""","Temporal.Synchronous","Comparison.Concession.Arg2-as-denier"
"wsj_0530","and","The British parent is also streamlining: Brooks Brothers, which continues to make almost all of its merchandise, recently shut one of its two shirt plants in Paterson, N.J.,","has closed boys' departments in all but 20 stores.","Expansion.Conjunction",""
"wsj_0530","but","With newly installed escalators, the store retains its signature wood-and-brass look","is less intimidating.","Comparison.Concession.Arg2-as-denier",""
"wsj_0530","instead of","More shirts and sweaters will be laid out on tables,","sitting behind glass cases, so that customers can ""walk up and touch them,"" Mr. Roberti says.","Expansion.Substitution.Arg1-as-subst",""
"wsj_0530","so that","More shirts and sweaters will be laid out on tables, instead of sitting behind glass cases,","customers can ""walk up and touch them,"" Mr. Roberti says.","Contingency.Purpose.Arg2-as-goal",""
"wsj_0530","and","More shirts and sweaters will be laid out on tables, instead of sitting behind glass cases, so that customers can ""walk up","touch them,"" Mr. Roberti says.","Expansion.Conjunction",""
"wsj_0531","or","The maker of chemical and industrial materials didn't say how much it would pay","when it would make the transactions.","Expansion.Conjunction",""
"wsj_0532","until","James Gatward, TVS's chief executive, said in a statement that he will ""assume overall responsibility"" for MTM's operations","a successor is named.","Temporal.Asynchronous.Precedence",""
"wsj_0532","and","Mr. Price ""wanted to run the MTM business""","may have regretted selling the company to TVS, suggested Charles Denton, managing director of Zenith Productions, a subsidiary of Carlton Communications PLC, London.","Expansion.Conjunction",""
"wsj_0532","and","Mr. Gatward declined to comment,","Mr. Price couldn't be reached on Friday.","Expansion.Conjunction",""
"wsj_0532","but","In the TVS statement, Mr. Price said ""leaving MTM was a very difficult decision,""","added that ""it is now time for a change. . . .""","Comparison.Concession.Arg2-as-denier",""
"wsj_0532","and","In that announcement, TVS also said it was trimming production finance","hiring a new U.S. sales manager.","Expansion.Conjunction",""
"wsj_0532","and","Mr. Gatward has spent a lot of time since late September at MTM's headquarters; he eliminated three departments","fired six executives, according to the TVS spokesman.","Expansion.Conjunction",""
"wsj_0533","once","Merieux officials said last week that they are ""highly confident"" the offer will be approved","it submits details of its proposed investments to federal regulators.","Temporal.Asynchronous.Succession","Contingency.Cause.Reason"
"wsj_0537","after","Judge Harold C. Abramson raised the possibility","talks to end a feud between two major creditors failed and all three reorganization plans in the case ran into roadblocks.","Temporal.Asynchronous.Succession",""
"wsj_0537","and","Judge Harold C. Abramson raised the possibility after talks to end a feud between two major creditors failed","all three reorganization plans in the case ran into roadblocks.","Expansion.Conjunction",""
"wsj_0537","while","Under Chapter 11 of the Federal Bankruptcy Code, a company continues to operate under protection from creditors' lawsuits","it works out a plan to pay its debts.","Temporal.Synchronous",""
"wsj_0537","after","Despite his reluctance to take the latter step, the judge indicated he would move quickly","hearing testimony later this week in the bitter dispute between Manufacturers Hanover Trust Co. and Minpeco S.A., a minerals concern owned by the Peruvian governmemt.","Temporal.Asynchronous.Succession",""
"wsj_0537","after","Neither plan is dead, however, and the judge could force creditors to accept some version of them","ruling on the Minpeco-Manufacturers Hanover dispute.","Temporal.Asynchronous.Succession",""
"wsj_0537","after","The two sides have been far apart on how much Herbert Hunt will continue to owe the government","his assets are sold.","Temporal.Asynchronous.Succession",""
"wsj_0539","but","Terms haven't been finalized,","the transaction is expected to close by year end, Pacific First said.","Comparison.Concession.Arg2-as-denier",""
"wsj_0541","because","Automatic Data is redeeming the bonds","the after-tax cost of the interest on the bonds is higher than the dividend yield on the common, a spokesman said.","Contingency.Cause.Reason",""
"wsj_0542","since","The supplement contains various information that has been filed with the Securities and Exchange Commission","Dow Jones launched the offer on Sept. 26, but it doesn't change the terms and conditions of the offer except to extend its expiration date.","Temporal.Asynchronous.Succession",""
"wsj_0542","but","The supplement contains various information that has been filed with the Securities and Exchange Commission since Dow Jones launched the offer on Sept. 26,","it doesn't change the terms and conditions of the offer except to extend its expiration date.","Comparison.Concession.Arg2-as-denier",""
"wsj_0542","except","The supplement contains various information that has been filed with the Securities and Exchange Commission since Dow Jones launched the offer on Sept. 26, but it doesn't change the terms and conditions of the offer","to extend its expiration date.","Expansion.Exception.Arg2-as-excpt",""
"wsj_0542","while","In Delaware Chancery Court litigation, Telerate has criticized Dow Jones for not disclosing that Telerate's management expects the company's revenue to increase by 20% annually,","Dow Jones based its projections of Telerate's performance on a 12% revenue growth forecast.","Comparison.Contrast",""
"wsj_0542","but","In the tender offer supplement, Dow Jones discloses the different growth forecasts","says it views the 20% growth rate ""as a hoped-for goal"" of Telerate's management ""and not as a realistic basis on which to project the company's likely future performance.""","Comparison.Concession.Arg2-as-denier",""
"wsj_0542","but","Late last week, representatives of Dow Jones and Telerate began negotiations about the terms of the offer,","those talks didn't result in any changes in the offer.","Comparison.Concession.Arg2-as-denier",""
"wsj_0542","and","Dow Jones, which owns 67% of Telerate, publishes The Wall Street Journal, Barron's magazine, community newspapers","operates financial news services and computer data bases.","Expansion.Conjunction",""
"wsj_0545","and","Kerry P. Charlet will become executive vice president,","retain his positions as chief financial officer and treasurer.","Expansion.Conjunction",""
"wsj_0546","in","In addition to being broadcast on cable television, the movie also is being distributed on videocassettes, the suit alleges","seeking unspecified damages.","Expansion.Level-of-detail.Arg1-as-detail",""
"wsj_0546","but","A Concord spokeswoman called the suit ""unfounded""","declined to comment further.","Comparison.Concession.Arg2-as-denier",""
"wsj_0546","when","Nam Angels shows Angels fighting with each other and also depicts them as showing no remorse","a member is killed.","Temporal.Asynchronous.Succession",""
"wsj_0546","and","Hells Angels was formed in 1948","incorporated in 1966.","Expansion.Conjunction",""
"wsj_0550","and","When the smoke cleared, six people were dead (three from heart attacks),","everyone wondered what in the world they were shooting at.","Expansion.Conjunction",""
"wsj_0550","but","Well, thousands of Californians on the scene insisted the ammo had been uselessly aimed at a large, hardy UFO,","you will just have to make your own decision about such sightings.","Comparison.Concession.Arg2-as-denier",""
"wsj_0550","and","One thing's for sure: There have been a ton of them,","greater beings than the editors of the National Enquirer have shown interest.","Expansion.Conjunction",""
"wsj_0550","and","I think we owe it to the American people to establish credibility regarding UFOs","to produce the greatest possible enlightenment on the subject.""","Expansion.Conjunction",""
"wsj_0550","because","I am convinced that UFOs exist","I have seen one. . . .""","Contingency.Cause.Reason",""
"wsj_0550","and","Still, despite their efforts to convince the world that we are indeed alone, the visitors do seem to keep coming",", like the recent sightings, there's often a detail or two that suggests they may actually be a little on the dumb side.","Expansion.Conjunction",""
"wsj_0550","after","In a 1961 incident, a Soviet mail plane disappeared off the radar screen","radioing its position to ground control in Sverdlovsk.","Temporal.Asynchronous.Succession",""
"wsj_0550","until","Speculation as to the nature of aliens will no doubt continue","we wake up one morning to find they've taken over ""The Today Show,"" the way they overwhelm an entire town in Jack Finney's ""Invasion of the Body Snatchers"" (Fireside/Simon & Schuster, 216 pages, $8.95).","Temporal.Asynchronous.Precedence",""
"wsj_0550","and","The apparent crash became top secret,","the alien creatures went away upset with the rude ways of human beings.","Expansion.Conjunction",""
"wsj_0551","when","Trustcorp Inc. will become Society Bank & Trust","its merger is completed with Society Corp. of Cleveland, the bank said.","Temporal.Synchronous",""
"wsj_0552","and","Aside from slashing costs","investing heavily in its plants, Akzo has spent 3.9 billion guilders ($1.88 billion) on acquisitions since 1983 to give it better balance.","Expansion.Conjunction",""
"wsj_0552","although","But he said Akzo is considering ""alliances"" with American drug companies,","he wouldn't elaborate.","Comparison.Concession.Arg2-as-denier",""
"wsj_0552","if","A bigger test will come next year",", as many analysts expect, bulk chemical prices slump in Europe.","Contingency.Condition.Arg2-as-cond",""
"wsj_0552","and","For example, Akzo has only minor petrochemical operations, is small in plastics","doesn't make fertilizers.","Expansion.Conjunction",""
"wsj_0552","but","A decline may come in the first half of 1990, he said,","the market doesn't appear on the verge of a severe downturn.","Comparison.Concession.Arg2-as-denier",""
"wsj_0552","and","Although the polyester and rayon markets remain mostly bleak, Akzo has high hopes for some emerging fiber businesses, such carbon fibers and aramid, extremely strong fibers used to reinforce tires and metals","to make such products as bullet-proof vests.","Expansion.Conjunction",""
"wsj_0552","as","Mr. Bergsma said Akzo is likely to see strong profit growth from coatings","it realizes cost savings and other benefits from its greater scale.","Contingency.Cause.Reason",""
"wsj_0552","but","Akzo is the leading seller of birth-control pills in Europe","is still seeking regulatory approvals to enter that market in the U.S. and Japan.","Comparison.Contrast",""
"wsj_0553","if","But in the end his resignation as Chancellor of the Exchequer may be a good thing,","it works as he no doubt intends -- by forcing Prime Minister Thatcher and her counterparts elsewhere to confront the genuine intellectual issues involved.","Contingency.Condition.Arg2-as-cond","Expansion.Level-of-detail.Arg2-as-detail"
"wsj_0553","by","But in the end his resignation as Chancellor of the Exchequer may be a good thing, especially if it works as he no doubt intends --","forcing Prime Minister Thatcher and her counterparts elsewhere to confront the genuine intellectual issues involved.","Expansion.Manner.Arg2-as-manner",""
"wsj_0553","by","There are the strict monetarists, who believe that floating exchange rates free an economy to stabilize its price level","stabilizing the monetary aggregates.","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_0553","by","He not only slashed marginal tax rates, initially sparking fresh growth in Britain, but he wanted to regulate monetary policy","targeting exchange rates, indeed joining the European Monetary System.","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_0553","and","They increased the after-tax rate of return","made Britain a far more attractive place to invest, producing sudden capital inflows.","Expansion.Conjunction",""
"wsj_0553","and","At this point, the options were: Crunch money to stop the boost in the aggregates, as Sir Alan surely advised,","forget the soaring pound.","Expansion.Conjunction",""
"wsj_0553","and","Or to supply enough money to meet the increased demand and stabilize the exchange rate, as the Chancellor argued,","ensure the permanence of this policy by joining the EMS.","Expansion.Conjunction",""
"wsj_0553","by","Or to supply enough money to meet the increased demand and stabilize the exchange rate, as the Chancellor argued, and ensure the permanence of this policy","joining the EMS.","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_0553","before","We had been soliciting opinions on it","Mr. Lawson's resignation, and offer some of the collection for the benefit of his successor and one-time deputy, John Major.","Temporal.Asynchronous.Precedence",""
"wsj_0553","and","We had been soliciting opinions on it long before Mr. Lawson's resignation,","offer some of the collection for the benefit of his successor and one-time deputy, John Major.","Expansion.Conjunction",""
"wsj_0553","though","Perhaps the fiscal shock of tax cuts is after all best absorbed by floating rates,","of course in the event Mr. Lawson resigned over whether to support a weak pound, not restrain a strong one.","Comparison.Concession.Arg2-as-denier",""
"wsj_0553","when","We recall that Mr. Roberts not only chides the Chancellor for being too easy because of a desire to constrain sterling, but also led the chorus saying that Mr. Volcker was too tight","he let the dollar rise.","Temporal.Synchronous",""
"wsj_0553","but","Somewhere in between there must be a golden mean, perhaps measured by M-Whatever,","perhaps measured by purchasing power parity.","Comparison.Contrast",""
"wsj_0553","if","Perhaps the shock would have been less","they'd fixed to another low-tax, deregulated, supply-side economy.","Contingency.Condition.Arg2-as-cond",""
"wsj_0553","indeed","Those who can shake Keynesian ghosts out of their heads might recognize that the retirement of gilts for cash is equivalent to an expansionary open-market operation,",", it is the definition of an open market operation to expand the money supply.","Expansion.Equivalence",""
"wsj_0553","and","In the end, neither policy was followed,","instead of learning anything we are left with a mystery.","Expansion.Conjunction",""
"wsj_0553","and","Our advice is this: Immediately return the government surpluses to the economy through incentive-maximizing tax cuts,","find some monetary policy target that balances both supply and demand for money (which neither aggregates nor interest rates can do).","Expansion.Conjunction",""
"wsj_0554","by","But Mr. Phillips recently freed himself up to spend more time with clients","delegating much of his administrative work to a deputy.","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_0554","but","Mr. Phillips also hopes to finally implement a reorganization announced earlier this year","put on hold by the WPP takeover.","Comparison.Concession.Arg2-as-denier",""
"wsj_0554","and","Under his watch, office politicking was often rampant in the agency's New York operation","the office there has had a dismal new-business record for more than a year.","Expansion.Conjunction",""
"wsj_0554","although","The one thing Mr. Phillips clearly does have going for him is continuity,","it isn't certain if that will be enough.","Comparison.Concession.Arg2-as-denier",""
"wsj_0554","and","As Mr. Dougherty says, ""The last thing they need is enormous disruption at the top . . .","Graham is obviously a long-term member of the Ogilvy Mafia, as we call it.""","Expansion.Conjunction",""
