id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
531,and,then,"A former U.S. Marine, Mr. Dinkins got off to a quick start in politics, joining a local Democratic political club in the 1950s, linking up with black urban leaders such as Charles Rangel, Basil Paterson and Mr. Sutton,",getting himself elected to the state assembly in 1965.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
532,and,then,"Mr. Sutton recalls: ""When I left, I sat down with Charlie {Rangel}, Basil {Paterson} and David,","David said, 'Who will run for borough president? ' And I said, 'You will. '""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
533,and,then,"Mr. Sutton recalls: ""When I left, I sat down with Charlie {Rangel}, Basil {Paterson} and David, and David said, 'Who will run for borough president? '","I said, 'You will. '""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
534,and,thus,"She has been on the move almost incessantly since last Thursday, when an army of adjusters, employed by major insurers, invaded the San Francisco area to help policyholders sift through the rubble",restore some order to their lives.,Expansion.Conjunction,Contingency.Cause.Result
535,and,then,One of the friends sweeps broken dishes and shattered glass from a countertop,starts to pack what can be salvaged from the kitchen.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
536,and,then,"He returned home last Thursday, packed a bag with fresh clothes",reported for duty Friday in Walnut Creek.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
537,and,then,"""And you didn't want me to buy earthquake insurance,"" says Mrs. Hammack, reaching across the table",gently tapping his hand.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
538,and,as a result,"""People have been seeing headline after headline after headline","saying: `I can't take it anymore -- I'm getting out, '"" says Kurt Brouwer of Brouwer & Janachowski, a San Francisco investment adviser.",Expansion.Conjunction,Contingency.Cause.Result
539,then,and,"""You get a news item, it hits, you have strong redemptions that day and for two days following --","go back to normal,"" says Mr. Litvack.",Temporal.Asynchronous.Precedence,Expansion.Conjunction
540,and,thus,"Graham Beale, manager of foreign-exchange operations at Hong Kong & Shanghai Banking Corp. in New York, added that Mrs. Thatcher's comments reinforced the market's growing confidence about sterling",compounded the unit's later decline.,Expansion.Conjunction,Contingency.Cause.Result
541,and,therefore,"The Fed's move, however, only proved a stopgap to the pound's slide","the Fed intervened for a second time at around $1.5825, according to New York traders.",Expansion.Conjunction,Contingency.Cause.Result
542,and,as a result,"At the time 71%-controlled by Oy Waertsilae, a conglomerate, the shipbuilding unit faced potential losses estimated at one billion markka",was on the brink of liquidation.,Expansion.Conjunction,Contingency.Cause.Result
543,and,therefore,"But the bankers got cold feet recently as government officials complained they had been misled about the shipyard's actual financial condition,",hinted the credit guarantees might be withdrawn.,Expansion.Conjunction,Contingency.Cause.Result
544,and,instead,"Indeed, the potential losses make any rescue scheme unlikely unless the politicians once again change tack","agree to pick up the bill, analysts said.",Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
545,and,then,"Last summer, he chucked his 10-year career as a London stockbroker",headed for the mountains.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
546,and,thereby,The SEC has alleged that Mr. Antar aimed to pump up the company's stock price through false financial statements in order to sell his stake,reap huge profits.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
547,and,as a result,"But there are times when they seize up,",panicky sellers cannot find buyers.,Expansion.Conjunction,Contingency.Cause.Result
548,and,therefore,His skis spread farther and farther apart -- just as buy-sell spreads widen during a financial panic --,soon he is out of control.,Expansion.Conjunction,Contingency.Cause.Result
549,and,then,It lent money to banks,encouraged them to make funds available to brokerage houses.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
550,and,as a result,"They, in turn, lent money to their customers -- who were supposed to recognize the opportunity to make a profit in the turmoil",buy shares.,Expansion.Conjunction,Contingency.Cause.Result
551,and,as a result,The increased demand would normalize trading,stabilize prices.,Expansion.Conjunction,Contingency.Cause.Result
552,and,therefore,Intel said it had corrected the problems,would start producing bugless chips next week.,Expansion.Conjunction,Contingency.Cause.Result
553,and,then,"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share",asked Mr. Gilleland to stay on as an equity participant.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
554,and,so,But they never materialized,IMA completed the purchase yesterday.,Expansion.Conjunction,Contingency.Cause.Result
555,and,then,"Zaita the ""cripple-maker"" rearranges the limbs of aspiring beggars --",takes a cut of every cent they cadge.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
556,and,then,"We see, smell and hear slums filled with ""the echoes of hawkers advertising their wares interspersed with abusive language, rattling coughs and the sound of people gathering spittle in their throats","spewing into the street.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
557,and,therefore,"Mr. Mahfouz began writing when there was no novelistic tradition in Arabic,",he modeled his work on Western classics.,Expansion.Conjunction,Contingency.Cause.Result
558,and,instead,They transferred some $28 million from the Community Development Block Grant program designated largely for low- and moderate-income projects,"funneled it into such items as: 

-- $1.2 million for a performing-arts center in Newark, 

-- $1.3 million for ""job retention"" in Hawaiian sugar mills. 

-- $400,000 for a collapsing utility tunnel in Salisbury, 

-- $500,000 for ""equipment and landscaping to deter crime and aid police surveillance"" at a Michigan park. 

-- $450,000 for ""integrated urban data based in seven cities."" No other details. 

-- $390,000 for a library and recreation center at Mackinac Island, Mich.",Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
559,and,therefore,"But, I have to tell you that it seems to me that the conceptual base of the current program is flawed",the program is not likely to work.,Expansion.Conjunction,Contingency.Cause.Result
560,and,as a result,Sometimes at a reception or cocktail party I advance these views,people head for somebody else.,Expansion.Conjunction,Contingency.Cause.Result
561,and,thereby,"""We're trying to take the imagination and talent of our engineers","come up with new processes for industry,"" says Vincent Salvatori, QuesTech's chief executive.",Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
562,and,then,"From there, he set up his finance company",rapidly expanded from lending to investment in real estate to building golf courses.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
563,and,therefore,"""Our divestiture program is on schedule,","we remain confident that we will achieve our stated goal of over $1 billion in net proceeds,"" said Nolan D. Archibald, Black & Decker's president and chief executive officer, in a statement.",Expansion.Conjunction,Contingency.Cause.Result
564,and,as a result,"The Japanese have watched the Europeans and Canadians stumble in the U.S. market,",they fret that business practices that have won them huge profits at home won't translate into success in the U.S.,Expansion.Conjunction,Contingency.Cause.Result
565,and,as a result,"Seven Japanese department-store groups were approached by investment bankers representing Bloomingdale's chairman, Marvin Traub,","more than half are seeking additional information on the group, bankers say.",Expansion.Conjunction,Contingency.Cause.Result
566,and,then,"British postal authorities say they have uncovered a large-scale scheme where unscrupulous stamp dealers chemically removed stamp cancellations, regummed the stamps","sold them to U.S. collectors or, in large lots, to British businesses.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
567,and,thus,The issue has assumed some of the character of past civil-rights debates,reopens old regional divisions in the Democratic majority.,Expansion.Conjunction,Contingency.Cause.Result
568,and,therefore,"But the costly efforts did little to slow Japanese market gains,",domestic car sales have plunged 19% since the Big Three ended many of their programs Sept. 30.,Expansion.Conjunction,Contingency.Cause.Result
569,and,as a result,"If sales don't pick up, the cuts will go deeper",incentives will sprout again.,Expansion.Conjunction,Contingency.Cause.Result
570,and,therefore,"In the play, the Duke of Vienna despairs over the licentiousness of his subjects","turns over the rule of the city to the puritanical Angelo, hoping he can set things right.",Expansion.Conjunction,Contingency.Cause.Result
571,and,as a result,"When, however, Claudio's sister, Isabella, a novitiate in a convent, goes to Angelo to plead her brother's case, the obdurate ruler immediately falls in love with her",", in a supreme act of hypocrisy, demands that Isabella yield up her virtue to him in exchange for her brother's life.",Expansion.Conjunction,Contingency.Cause.Result
572,and,then,"Meanwhile, the Duke, who set the original scheme in motion, appears on the scene disguised as a friar",becomes involved in a series of intrigues that has everyone fearing the worst possible outcome until the Duke arranges a last minute reprieve for all concerned.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
573,and,as a result,"Mr. Kiep said he sought the combination because ""all our large clients in Germany are becoming European companies or multinational companies","they expect an insurance broker"" to serve them as well in Paris as in Germany.",Expansion.Conjunction,Contingency.Cause.Result
574,and,then,"The maker of water-treatment chemicals and equipment said it will select the plant site early next year,",production is expected to begin in 1991.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
575,and,then,"""I cut my losses","ran,"" she says, from her new home in Colorado, where she is busy remodeling.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
576,and,then,"Raymond Donovan, the New Jersey construction executive who was forced to resign as labor secretary","indicted in 1985, only to be acquitted of fraud charges, often calls other scandal-tossed public figures to offer a sympathetic ear.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
577,and,then,Keep in mind that this is the same movie in which a character is flattened by a steamroller only to pop right back up,peer in the window of a Boeing 747 -- from the outside -- as it takes off.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
578,and,therefore,"However, these faults are not the exclusive property of modern comedies,",I believe Mr. Knight errs when he attempts to link this modern phenomenon too closely to a single category of movie making.,Expansion.Conjunction,Contingency.Cause.Result
579,and,as a result,"If approved at a shareholder meeting in December, the number of shares outstanding would decrease to five million from 50 million,",par value would rise to 10 cents from a penny.,Expansion.Conjunction,Contingency.Cause.Result
580,and,as a result,"Despite sudden changes in the strategic equation, some Western European leaders, especially British Prime Minister Margaret Thatcher, remain skeptical about European political and economic unity,",are unlikely to let East-West concerns change their minds.,Expansion.Conjunction,Contingency.Cause.Result
581,and,at the same time,He adds that with communism collapsing,"Mr. Gorbachev scrambling to rejuvenate the Soviet economy, ""Our interest lies in a controlled transformation, a contained nuclear reaction, so we need to help him, and not just with words.""",Expansion.Conjunction,Temporal.Synchronous
582,and,specifically,"He adds: ""We, and the rest of the EC have to talk to the Germans, now, frankly","raise these future risks with them.""",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
583,and,consequently,"Mr. McNealy said the issues that hurt Sun's performance earlier this year are now ""largely"" behind the firm,",he indicated that Sun's profitability should increase throughout the fiscal year.,Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
584,and,then,"The Chinese leader, Mr. Lee informed Mr. Bush, expressed some regret for what had happened in Beijing",conceded that China's officials bore some responsibility.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
585,but,rather,"He says that the Chinese never asked him to convey their statements to President Bush,",that the White House spontaneously invited him to do so.,Comparison.Contrast,Expansion.Substitution.Arg2-as-subst
586,and,therefore,"So far, the victims are officially considered evil-doers,",their families receive no compensation.,Expansion.Conjunction,Contingency.Cause.Result
587,and,as a result,But in 1986 Congress sharply reduced the number of people who could qualify for its benefits,IRA tax-deductions slowed their roaring growth.,Expansion.Conjunction,Contingency.Cause.Result
588,and,as a result,"But it didn't elaborate,",it remains unclear how far Western tourists and foreigners living in Moscow will be allowed to benefit from the sweeping rate cut.,Expansion.Conjunction,Contingency.Cause.Result
589,and,then,"Plans for the auction, which was supposed to take place last spring","become a regular event, have been thwarted by a lack of hard currency.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
590,and,thus,"Punching away, we raised what I still think were all the right issues","landed more than one hard blow, but at the end of the affair, there was just the tiniest nagging worry that we had been aiming at the wrong target.",Expansion.Conjunction,Contingency.Cause.Result
591,and,as a result,"We didn't stampede into it, we slithered and slipped down the long slope,",now we have as its quintessential symbol a former president huckstering for a foreign poohbah.,Expansion.Conjunction,Contingency.Cause.Result
592,and,therefore,The directors added that the two executives haven't reached a final decision to proceed with a bid,that until an offer is made the board will continue seeking higher offers from other bidders.,Expansion.Conjunction,Contingency.Cause.Result
593,and,therefore,"And Japan's minister of agriculture, forestry and fisheries told a committee of Japan's parliament that Washington's proposal was impractical",that Tokyo would continue to heavily subsidize its rice farmers.,Expansion.Conjunction,Contingency.Cause.Result
594,but,instead,"Seeking to allay European concerns, U.S. Agriculture Secretary Clayton Yeutter said in Washington that the new U.S. plan wouldn't ""put farmers out of business""","would encourage them to ""grow what the markets desire instead of what the government wants.""",Comparison.Concession.Arg2-as-denier,Expansion.Substitution.Arg2-as-subst
595,and,therefore,"As a public figure, Mr. Masson had to prove malice",", as proof of malice, Mr. Masson contended that defamatory quotations ascribed to him by Ms. Malcolm were in fact fabricated.",Expansion.Conjunction,Contingency.Cause.Result
596,and,as a result,"The quotes could not be found on the tapes,","the two judges who decided the case for Ms. Malcolm and her publishers conceded that, for the purpose of their decision, ""we assume the quotations were deliberately altered.""",Expansion.Conjunction,Contingency.Cause.Result
597,and,as a result,Few now recall the actual outcome: Scopes was convicted,"fined $100, and his conviction was reversed on appeal because the fine was excessive under Tennessee law.",Expansion.Conjunction,Contingency.Cause.Result
598,and,then,"Few now recall the actual outcome: Scopes was convicted and fined $100,",his conviction was reversed on appeal because the fine was excessive under Tennessee law.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
599,and,thereby,"These ""active suspension systems"" electronically sense road conditions",adjust a car's ride.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
600,and,instead,"""We've got to get out of the Detroit mentality","be part of the world mentality,"" declares Charles M. Jordan, GM's vice president for design, in explaining his pilgrimage to the Tokyo Show.",Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
601,and,as a result,"True, Ford was declared the winner Sunday, but only after the Honda driver who crossed the finish line first was disqualified because it hit another car",skid momentarily out of bounds.,Expansion.Conjunction,Contingency.Cause.Result
602,without,but,Federal Reserve Chairman Alan Greenspan told Congress that the Fed can wipe out inflation,"causing a recession, but he said doing so will inflict some short-term pain and will require reducing the federal deficit sharply.",Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
603,without,but,"Mr. Greenspan said the inflation rate, currently about 4 1/2%, ""could be brought down to levels which are close to zero","putting the economy into a recession, but I do suspect that there might be some modest loss of economic output.""",Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
604,and,therefore,Environmental groups have been calling for faster action on dangerous pesticides,may welcome part of the proposal.,Expansion.Conjunction,Contingency.Cause.Result
605,and,thereby,to declare a pesticide an imminent hazard,pull it from the marketplace,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
606,and,as a result,"Still, Southland said that its franchisees have been targeting their merchandise to their customers for years,",that the company has begun to follow suit.,Expansion.Conjunction,Contingency.Cause.Result
607,and,in contrast,All of their friends have children,"they can't, so now they want a child more than anything -- perhaps even more than Michael wanted his fancy convertible or his deluxe stereo equipment.",Expansion.Conjunction,Comparison.Contrast
608,and,as a result,"There is some pain, when Lucy has the baby and ""didn't know she would feel like this""",wants to keep the baby.,Expansion.Conjunction,Contingency.Cause.Result
609,then,and,"It starts with conception, taking the sperm's point of view,",progresses to the baby's point of view.,Temporal.Asynchronous.Precedence,Expansion.Conjunction
610,and,at the same time,"While Ms. Kaddurah-Daouk left MIT to head Amira, Prof.
Schimmel will continue to work at MIT, serve on Amira's board",own a small equity stake in the company.,Expansion.Conjunction,Temporal.Synchronous
611,and,as a result,The proposed guidelines could also delay commercialization --,"force small companies to waste scarce capital, entrepreneurs say.",Expansion.Conjunction,Contingency.Cause.Result
612,and,instead,"Renaissance's last portfolio shift, carried out by Goldman, Sachs & Co., was a highly publicized decision last January to sell its entire stock portfolio",buy Treasury bills.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
613,and,then,It was the 49-year-old Mr. Evans who had moved into the offices of MGM/UA,run the company during Qintex Australia Ltd. 's aborted bid for the movie company.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
614,and,specifically,"Last Monday, Qintex Australia announced a restructuring plan",said it would sell off assets.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
615,and,therefore,Qintex Australia said it hadn't seen the suit,couldn't comment.,Expansion.Conjunction,Contingency.Cause.Result
616,and,therefore,"MGM Grand said the latest stock offering won't cover the $600 million or more cost of building the proposed resort and theme park,","added it will need to seek additional financing, either through bank borrowings or debt and equity offerings, at a later date.",Expansion.Conjunction,Contingency.Cause.Result
617,and,as a result,"Leverage is never a problem for the traditional ""open end"" mutual funds, which aren't publicly traded",aren't allowed to use leverage at all.,Expansion.Conjunction,Contingency.Cause.Result
618,and,for that purpose,"She ordered the foyer done in a different plaid planting,",made the landscape architects study a book on tartans.,Expansion.Conjunction,Contingency.Purpose.Arg1-as-goal
619,and,yet,"The Bank of England, on the other hand, had gold reserves that averaged about 30% of its outstanding currency,",Bank of England notes were accepted throughout the world.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
620,and,as a result,"By contrast, in 19th-century Russia an authoritarian government owned the bank","had the power to revoke payment whenever it chose, much as it would in today's Soviet Union.",Expansion.Conjunction,Contingency.Cause.Result
621,and,as a result,"It is no coincidence that from 1844 to 1914, when the Bank of England was an independent private bank, the pound was never devalued and payment of gold for pound notes was never suspended, but with the subsequent nationalization of the Bank of England, the pound was devalued with increasing frequency",its use as an international medium of exchange declined.,Expansion.Conjunction,Contingency.Cause.Result
622,and,thereby,He argued that program-trading by roughly 15 big institutions is pushing around the markets,scaring individual investors.,Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
623,and,specifically,They are spread around the country,"include locations in California, Florida, Washington and Arizona.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
624,and,so,"Businesses across the country are getting fed up with junk mail,",some are saying they just aren't going to take it anymore -- literally.,Expansion.Conjunction,Contingency.Cause.Result
625,and,as a result,"General Motors earlier this year said it wouldn't deliver bulk mail or free magazines in its Flint, Mich., office, while Air Products & Chemicals, Allentown, Pa., says it screens junk mail",often throws out most of a given mass mailing.,Expansion.Conjunction,Contingency.Cause.Result
626,and,then,"At Air Products, meanwhile, the mailroom staff opens junk mail",often throws it away -- even if addressed to an individual.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
627,and,then,"""If they get 50 packets of something, they open one, see what it says, throw 48 away","send two to people or departments they think are appropriate,"" a spokesman says.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
628,and,conversely,"Their tone was good-natured, with Mr. Packwood saying he intended to offer the proposal again and again on future legislation",Sen. Mitchell saying he intended to use procedural means to block it again and again.,Expansion.Conjunction,Comparison.Contrast
629,and,therefore,Japan plans to send the Chinese back home,"is negotiating with the Chinese government, a Justice Ministry official said.",Expansion.Conjunction,Contingency.Cause.Result
630,then,and,"During the past administration the foodstuffs were first bought by the institute,","sold at low prices to ""unscrupulous businessmen"" who resold them to the institute at inflated prices, the statement said.",Temporal.Asynchronous.Precedence,Expansion.Conjunction
631,and,then,"Another 250 Libyans were already in Italy to stage a day of mourning for victims of Italy's colonial rule between 1911 and 1943, when Tripoli says Rome kidnapped 5,000 Libyans",deported them as forced labor.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
632,and,therefore,The council unanimously opposed the idea of AGIP pumping out the methane gas,"swiftly appealed to the company and to Prime Minister Giulio Andreotti, who has yet to reply.",Expansion.Conjunction,Contingency.Cause.Result
633,and,instead,"This is no place for pedestrians, but at 7:30 on a recent morning, when construction choked traffic at the famous Four Corners intersection to one lane, a taxi passenger found it faster to abandon the cab",walk to her destination.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
634,and,then,"Every Bill which shall have passed the House of Representatives and the Senate, shall, before it becomes a Law, be presented to the President of the United States; If he approve he shall sign it, but if not he shall return it, with his Objections to that House in which it shall have originated, who shall enter the Objections at large on their Journal,",proceed to reconsider it.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
635,and,then,"If after such Reconsideration two thirds of that House shall agree to pass the Bill, it shall be sent, together with the Objections, to the other House, by which it shall likewise be reconsidered,","if approved by two thirds of that House, it shall become a Law. . . .",Expansion.Conjunction,Temporal.Asynchronous.Precedence
636,and,then,"Every Order, Resolution, or Vote to which the Concurrence of the Senate and House of Representatives may be necessary (except on a question of Adjournment) shall be presented to the President of the United States;","before the Same shall take Effect, shall be approved by him, or being disapproved by him, shall be repassed by two thirds of the Senate and House of Representatives, according to the Rules and Limitations prescribed in the Case of a Bill.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
637,and,then,President Bush should take the Constitution in one hand and a budget ax in the other,get to work.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
638,and,thus,KKR also signaled to the company's creditors that Henry Kravis and other KKR directors of SCI TV would resign from the board once the restructuring is completed,forgo their voting rights.,Expansion.Conjunction,Contingency.Cause.Result
639,and,specifically,They immediately termed the proposal inadequate,said the restructuring would not solve the company's problems.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
640,and,as a result,"The Association of Quality Clubs, which puts 1988 industry revenue at $5 billion, surveyed the health-conscious over-40 market",found that 43% exercise regularly.,Expansion.Conjunction,Contingency.Cause.Result
641,and,thus,The commission believes that improving AM service would broaden listening selections,increase options for advertisers.,Expansion.Conjunction,Contingency.Cause.Result
642,and,as a result,"The Kemper Corp. unit and other critics complain that program trading causes wild swings in stock prices, such as on Tuesday and on Oct. 13 and 16,",has increased chances for market crashes.,Expansion.Conjunction,Contingency.Cause.Result
643,and,specifically,We've talked to proponents of index arbitrage,told them to cool it because they're ruining the market.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
644,and,as a result,The notes are zero-coupon securities,will not pay interest periodically.,Expansion.Conjunction,Contingency.Cause.Result
645,and,then,But those dollars at risk pale in comparison to the investment required to make,ship spring goods to Campeau stores.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
646,and,as a result,"""We're being paid today, but we're worried about tomorrow","will want"" letters of credit, says the sales director at one major dress maker who asked not to be identified.",Expansion.Conjunction,Contingency.Cause.Result
647,and,so,"I've got limited production,","I can't give it to underperformers.""",Expansion.Conjunction,Contingency.Cause.Result
648,and,so,"X-rays, by contrast, travel straighter",can be focused more tightly than light.,Expansion.Conjunction,Contingency.Cause.Result
649,and,then,Mr. Lortie joined Provigo in 1985,spearheaded the company's drive to grow outside its traditional food business.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
650,and,as a result,"Analysts are skeptical Provigo will be able to sell the non-food businesses as a group for at least book value,",are expecting write-downs.,Expansion.Conjunction,Contingency.Cause.Result
651,and,instead,Foreign-exchange dealers noted that the impact of the chairman's remarks was slight,warned that the currency remains sensitive to developments on Wall Street.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
652,without,but,"He added, however, that inflation could be brought down ""close to zero""",throwing the economy into a recession.,Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
653,and,specifically,Many traders forecast a continuation of the market's recent bearish trend,predict the U.S. currency will remain stuck in its relatively narrow ranges in the near term and then shift lower.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
654,and,then,"During the quarter, Delta issued 2.5 million shares of common stock to Swissair,",repurchased 1.1 million shares for use in a company employee stock ownership plan.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
655,and,accordingly,Thrift officials said the $300 million reserve will be adjusted quarterly,will reflect the rate of dispositions and market conditions.,Expansion.Conjunction,Contingency.Cause.Result
656,and,specifically,"Prudential-Bache Securities Inc. analyst George E. Thompson downplayed the importance of the announcement,","called any comparison between the coming beer-industry tiff and the seemingly unending ""cola wars,"" unwarranted.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
657,and,as a result,"The judge said that if the FBI's proposed schedule was followed in releasing the documents, ""a delay of over one year will have occurred","plaintiff will have served approximately two-thirds of his 3 1/2-year minimum sentence by the time he receives the files.""",Expansion.Conjunction,Contingency.Cause.Result
658,and,more specifically,"John Fitzsimmons, chief executive officer of Data Systems, said the company was profitable",expected sales of nearly $100 million this year.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
659,and,yet,But the first quarter of the year is generally the weakest,OPEC production doesn't seem to be slackening in anticipation of that.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
660,and,then,"This trader characterized the recent price action as a contest between the fundamentalists, who see higher prices ahead, and the technicians, who are basically buying cotton toward the bottom of the current trading range, around 71 cents,",selling it when the price climbs more than 74 cents.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
661,and,therefore,"American Medical International Inc. said it hasn't received any other offers to acquire the owner and operator of hospitals,",took another step toward completion of its $3 billion acquisition by IMA Holdings Corp.,Expansion.Conjunction,Contingency.Cause.Result
662,and,as a result,The company reported a third-quarter loss,said it is holding talks with its bank lenders for an extension on some overdue debt payments.,Expansion.Conjunction,Contingency.Cause.Result
663,and,as such,"The investment boom is mainly sparked, they say, by strong domestic demand",isn't likely to increase exports sharply.,Expansion.Conjunction,Contingency.Cause.Result
664,and,then,"It should have happened sooner,"" said Elizabeth Glaser, a Los Angeles mother and activist who contracted the AIDS virus through a blood transfusion,",transmitted it to two of her children.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
665,without,but,Fed Chairman Greenspan said the central bank can wipe out inflation,"causing a recession, but doing so will inflict short-term pain.",Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
666,and,similarly,Michigan's Senate passed a bill requiring girls to get parental consent for an abortion,Pennsylvania's House cleared a measure banning abortions after the 24th week of pregnancy.,Expansion.Conjunction,Comparison.Similarity
667,and,as a result,"A landslide engulfed a hillside slum in Sao Paulo, Brazil,","at least 20 people, most of them children, were missing and feared dead.",Expansion.Conjunction,Contingency.Cause.Result
668,and,therefore,A spokesman for the company said Campeau hasn't seen the suit,declined to comment.,Expansion.Conjunction,Contingency.Cause.Result
669,and,now,Mesa President Larry Risley said his board had received Stateswest's most recent offer,was reviewing it.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
670,then,and,"A spokeswoman said the apparel market troughed in the first half of 1988,",began showing improvement in the second half of last year.,Temporal.Asynchronous.Precedence,Expansion.Conjunction
671,and,then,that were cited --,seemingly ignored -- in dozens of previous junk offerings,Expansion.Conjunction,Temporal.Asynchronous.Precedence
672,and,in contrast,"Malaysia's Prime Minister Mahathir Mohamad sniffed, ""If everybody else puts out their left foot","you put out your right foot, you are out of step.""",Expansion.Conjunction,Comparison.Contrast
673,and,as a result,It is refreshing to see at least one world figure who knows what she believes in,is not inclined to reflexively compromise those beliefs.,Expansion.Conjunction,Contingency.Cause.Result
674,and,then,The man went back,"spoke to the desk clerk: ""That sign is wrong,"" he said.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
675,and,then,"After being trampled in Tuesday's selling stampede, the Nasdaq over-the-counter market dusted itself off",moved on in moderate trading.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
676,and,as a result,"Well, CBS, mired in the ratings cellar","looking to sports as a way out, wanted to close the deal immediately and block its rivals from getting another chance to bid.",Expansion.Conjunction,Contingency.Cause.Result
677,and,thereby,"Well, CBS, mired in the ratings cellar and looking to sports as a way out, wanted to close the deal immediately",block its rivals from getting another chance to bid.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
678,and,then,"Five months later, Mr. Tisch took over as CBS's chief executive, and soon he was wielding sole approval each time Mr. Pilson scribbled a frighteningly large figure on a slip of paper, sealed it in an envelope",gave it to sports negotiators.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
679,and,then,"He sees flashy sports as the only way the last-place network can cut through the clutter of cable and VCRs, grab millions of new viewers",tell them about other shows premiering a few weeks later.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
680,and,then,"""This isn't outlandish bidding; this is a situation of very careful businessmen making judgments about the worth of product",acting on it. . . .,Expansion.Conjunction,Temporal.Asynchronous.Precedence
681,and,thereby,"Businesses ""want to verify information","ensure accuracy,"" says John Hiltunen, Dictaphone's manager of media relations.",Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
682,with,then,"The first models will ship in the spring,",the largest following in the fall.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
683,and,therefore,But the 3090 line is nearly five years old -- which is getting up there in mainframe years --,its growth is expected to slow in 1990.,Expansion.Conjunction,Contingency.Cause.Result
684,but,instead,"He declined to disclose specific prices,","said each product costs in the tens of thousands, or even hundreds of thousands, of dollars.",Comparison.Concession.Arg2-as-denier,Expansion.Substitution.Arg2-as-subst
