,sentence1,sentence2,dm1,dm2
274,"elements were added (blocked shots, three-pointers) as they became more relevant, and distinctions were created (offensive vs. defensive rebounds) as such dividing lines became more pertinent.","the box score has survived in relatively static form, all while players and fans alike have come to evaluate performance by its categories.","ultimately,","though,"
275,"Mrs. Weston looked up, afraid to believe; but Emma's countenance was as steady as her words.",it did cease.,"fortunately,","however,"
276,Taken together with his work on design and upon the 'resolution of intractable policy controversies' via 'frame reflection' this is a remarkable catalogue of achievements.,it is difficult to find a sustained exploration of his contribution as a whole.,"interestingly,","though,"
277,"second, falling mortgage rates lead to refinancing, freeing up disposable income for additional consumption.",whether falling interest rates might stimulate consumption must depend on different marginal propensities to consume between creditors and debtors.,"ultimately,","however,"
278,"You're better off keeping Litwick to battle Brycen, but you may have to grind it a bit.",i need you guys to help me choose who to drop out of my party for an axew.,"so,","basically,"
279,"And actually, it's our bathroom, and essentially, Jenny, it's my domain.","point of fact, i can never get out of your life...we are one, my love.","further,",and
280,"It's like looking it in a new perspective, from our Duncan-reliant offense, that is, TD creates the shots for our team, when he's doubled, he can kick it out.","our guards create our offense, hence tp's assists were up.","now,","however,"
281,"Come to TechED and talk to the to the two PMs for C #and VB.NET...they both have programmed in VB6, and are sympathetic to the VB6 community.",it's all extremely overblown because programming is programming...if you're any good at it you'll be of to speed in an afternoon.,"overall,","though,"
282,"After some prominent press (and some prominent naysaying), Bitcoin has suffered a bit of a crash, falling from a high in the twenties to about of $3 USD today.","the intensity with which users, experimenters, and entrepreneurs are still supporting what could best be termed a movement has not waned.","interestingly,","however,"
283,"In other words, remittances do not rise (nor decline) significantly after such human-made disasters.","in contrast, remittances to africa do seem to increase significantly after a natural disaster - even if these disasters are most often slow-onset disasters, such as drought.","second,",and
284,"They could be much improved, they could be midway through the Colin Kaepernick era, or they may be in the running for Andrew Luck.","this is still patrick willis' team, coaching change or not.","ultimately,","though,"
285,"The City has certainly made efforts to listen, through neighborhood meetings as well as surveys.","going out to an event can be a luxury, only available to those who have the free time.",but,"again,"
286,The lesson UBNPC learned from this trend is that the optimum benefit period from a survey is likely shorter than four months.,"results showed high completion rates for many of the standards, evidence of the nursing staff on 8csicu providing excellent patient care.","overall,","though,"
287,"Her generosity, both in giving money, time and labor for others, was boundless; and her kindnesses were made doubly kind by the thoughtfulness with which they were executed.",many of her tenants and neighbors had relations or friends who had emigrated to the united states.,"thus,",for example
288,"as a teenager, pablo was often in trouble and not too interested in school, but very interested in nature.",he began to think about a university degree and took several vocational tests to help him figure out what subject would suit him best.,"eventually,","though,"
289,He didn't make another movie for ten years.,"his reputation and then some was restored, first in japan and soon thereafter in the west.","eventually,","however,"
290,"The differences, perhaps, were rhetorical rather than real, and the conclusion of our debate is that we learn that we are fundamentally at one on important metaphysical questions.","(and more likely in this case), we discover as our debate progresses that our differences are even more important and thoroughgoing than we first thought.","or,",alternatively
291,"If having specific fonts and layouts matter, PDF is the way to go.",it's what you say and not how you say it.,"ultimately,","though,"
292,"Unfortunately, some of the themes were hammered in a bit too strongly; the evil Duke was a bit of a straw man.",the unique packaging of this christmas present made it well worth it.,"overall,","though,"
293,"Nor because some animals are savage, is their alliance to us to be on this account abscinded.",we destroy such men; yet we do not cut them off from an alliance to animals of a mild nature.,"hence,","also,"
294,"But for now, I'm not willing to give up on the notion that humans can figure out how to live in a more balanced community with the rest of life.","some major reorganization of our world is in order, or, more accurately, is taking hold right now.","ultimately,","though,"
295,"so, these are very good, but quite difficult questions to answer right.",i think they are important questions to answer.,"now,",but
296,"If it does occur,.","it happens to be at night, the ships may shine a light on the other.","though,",and
297,It's also important in travel and adventure so that you have ample time to describe and let the players grow comfortable with your world's society and landscape.,you will definitely want to go into a macro management style.,but,"eventually,"
298,This paper summarizes the empirical and theoretical research on executive compensation and provides a comprehensive and up-to-date description of pay practices (and trends in pay practices) for chief executive officers (CEOs).,there are feedback processes that cause an emphasis in pay and extrinsic incentives to create attitudes and behavior that make....,"again,","however,"
299,the university community is at various levels to continue past efforts--both as to asset expansion and personnel maintenance.,these efforts have not been totally successful.,"clearly,","also,"
300,"He calls Princess Jasmine ""Pussycat""; he reminds us a lot of Prince, actually.",he's just a dude trying to get into a cave of riches because he feels inadequate serving under a king.,"ultimately,","though,"
301,"The elves there are the only sapient race not descended from humanity, and really are older and more naturally magical than humanity or the other races.","they had, well before the beginning of the first series, forgotten their heritage and the vast bulk of their magical abilities.","interestingly,","though,"
302,It had to do with integrity.,john mccain lies.,but,"now,"
303,The brand won't be successful until you are its unapologetic champion-love every part of it.,pick your battles.,"third,","finally,"
304,"By far the best thing about it was Rhona Mitra, who manages to retain a level of credibility even when everything around her is going to pot.","marshall really dropped the ball with this one, and is making the masterful the descent look more and more like a fluke by the minute.","overall,","though,"
305,reveals a difficult life lesson that i imagine helped create the humorist we know today.,i think sedaris' stories are better told by the man himself.,"though,","in the end,"
306,"This is seen as producers having poor confidence in gold, their own product, and that weakened gold sentiment further.","producers are now unwinding their hedges as gold prices strengthen, as they want more upside price participation.",conversely,"now,"
307,God put it there for a reason.,"i checked this out in a secular dictionary, atheos is the root for our word today for atheist.","obviously,",and
308,"And before I forget, it is common sense that given the emphasis on interactive dialogue with demons, prospective importers should have competent Japanese reading abilities.",shin megami tensei is an acquired taste.,"overall,","though,"
309,"Ultimately, in East Lancashire, 120 beds were closed, leaving about 950 beds among the sites.",the trust built better primary care and overtly aimed for better health outcomes.,simultaneously,"however,"
310,"You can even see glimmers of that in the Iconia W510, with its lovely IPS display and optional accessories.","the w510 does a disservice to acer: with a chintzy build and a cramped, netbook-like keyboard, it confirms whatever pre-conceived notions shoppers may have about the brand.","ultimately,","though,"
311,"But Wells tends to inject into the discussion her political opinions about events in today's era, which is a bit distracting.",the book is well worth reading.,"still,","overall,"
312,"A strong America is necessary, a strong America is going to give us a much better chance for peace.",what we need is we also have to have prosperity as well.,but,"also,"
313,"Did one judge say: ""Wait, I think we might be sending the wrong message here""?",did they do everything they could to get her to the grammy awards even after she was barred from entering the united states?,"or,","rather,"
314,Or do we know the genome better than that?,the best way to curb population growth is to make sure everyone has a tv in their bedroom.,"so,","clearly,"
315,"In Lakeview, there has long been talk of developing the property on the south end of Tamarack Lake, the site formerly used by a pickle manufacturer.",environmental concerns and the possible cleanup costs involved have kept developers wary.,"previously,","however,"
316,Obama rolled on to a 303-206 Electoral College victory - with the results from Florida far from decided.,"of the more than 112 million votes cast in the current election, romney and obama were separated by just 1.5 million, or roughly 1.3 percentage points.","meanwhile,","however,"
317,Google takes another tack - it first matches your keywords to pages its collected in its index.,it ranks each page based on how many other pages link to it - and how many link to those pages in turn.,"then,","however,"
318,My little one is 9 mo.,my husband and i have been trying to get pregnant with our second one for 4 months now.,"now,",but
319,Twardowski was at MU for only a year when he returned to Poland for another medical position.,poland's communism and martial law lead to his accepting mu's full-time faculty offer in 1983.,"ultimately,","however,"
320,these coating cracks are again due to the mismatching of the glass and solder parts and may cause failure of the bulb sooner or later.,the sintering temperature of the 9010 glass parts with the z-l glass solder is kept between 400 and 410.,accordingly,"then,"
321,"They were wrong, though I am thankful everyday that a particular warden was in charge, which made a huge difference.","it's sort of a combination of luck, perseverence, and hard work.","so,","in the end,"
322,"If a frame lasts 6 seconds, this is one hour.","as the number of devices listening for new adjacent devices increases, the probability that new adjacent devices will be discovered increases significantly.","fortunately,","however,"
323,It was while researching the possibility of swapping out the overhead console that I came across this website on a Goggle search.,"thanks to some great threads, i found it was an easy plug and play if you get the correct console.","luckily,",and
324,"Ten years ago, this would have been a cue for much hand-wringing over the red-headed-stepchild status of classical music in American culture.",i think it says more about the internet's inexorable pressure on bricks-and-mortar corporate balance sheets than anything.,"now,","though,"
325,that seems sort of cruel.,"more to the point, if there aren't any people at all, what does it even mean to ""divide the cheeseburgers among people?""","third,",and
326,"Because his stomach didn't want any Cytomax drinks and he wasn't finishing his bottles, he started getting dizzy and his muscles fatigued in the final miles.",he was able to maintain second place and secure his second olympic berth.,"fortunately,","however,"
327,"You could watch them and think that maybe there was some worth to them somewhere, that maybe LaBute wasn't a raging sexist with a paucity of talent, despite the many indicators.","we see that in fact, his other works were but footnotes to the moronic glory of the wicker man.","now,","however,"
328,Would we lack these markers of racism and thus loose our bearings?,": do these instances now serve the function of carrying the weight of all racism, and the problems with it?","or,",alternatively
329,"Historically, such arrangements have excluded people with disabilities who use long-term services and supports (LTSS) due to their complex needs.",some states are also moving this population to managed care.,"now,","however,"
330,"This is fiddly and you also need to buy a Thunderbolt cable as, frustratingly, one isn't supplied with the Twin.",things get much simpler.,"thereafter,","however,"
331,"I do, however, consider myself a food enthusiastic (have you seen the size of my butt?)",feel qualified to add five names to the list that were not acknowledged.,and,therefore
332,"Perhaps lured by the perception of easier convictions and tougher sentences, prosecutors opt to proceed federally.","this ""puzzling"" or pragmatic use of federal law has cost the federal government much time, money, and energy in litigating this case.","obviously,","however,"
333,"if so, block 528 sets the concept identifier to that of the lens, and if not, block 527 sets the concept identifier to null.",control passes from blocks 527 and 528 to associate the information to be pasted with the current lens.,"regardless,","however,"
334,"Potter, an Al Sharpton like expy with political ambitions and a beef with the NYPD.","it's revealed that a young hispanic boy saw the whole thing, but, since his family are illegal immigrants, his parents don't want him testifying.","eventually,","though,"
335,Have you noticed those miniskirts on the Champs- Élysées?,have you noticed out the complete disappearance of miniskirts.,"or,","rather,"
336,"then i started thing about words that sounded like ""synonym"".","""synonym"" has neither a homophone or a heteronym.","clearly,","though,"
337,It's not that I don't trust you; it's to stop them expiring prematurely.,i don't trust you either.,"although,","obviously,"
338,"The album's final four songs are its finest, from tender ""Memphis Moon"" to the sad sense of determination of ""Steady Now.""",it's a slight album.,"ultimately,","though,"
339,"the throughput of the road (the number of cars) is high, but traffic is not yet high enough to degrade my latency (otherwise known as the time i spend in traffic).","too many cars get on the road, and - boom!","eventually,","though,"
340,"I like your analysis a lot, and it doesn't differ much from mine.",i critique the value and purpose of distinguishing between aesthetic and non-aesthetic (or less-aesthetic) works as a fundamentally politicized and therefore suspect undertaking.,"ultimately,","however,"
341,Bas Vodde is perhaps the official source.,you don't note the difference between iterative and scrum (the 2 parts).,"so,",for example
342,"Totals could range from 4"" -6"", but accumulation will be initially reduced by standing water on roads, and any pre-treatment that is put down.",the rate of snowfall and cold air moving in should cause snow to stick.,"eventually,","though,"
343,A short walk in the middle of a fast run or a slow run are simply different.,the human eye is not an integrating sensor.,and,"finally,"
344,Put these factors together and you get a pretty ugly picture.,"that without a change in salary policy, quebec universities would have to cut a third of their non-salary budget in order to make ends meet.","meaning,","in short,"
345,The touchpad is still working and after putting the computer briefly into standby the problem is solved to the degree that it is possible to use the keyboard etc.,the sound volume can be adjusted again with ubuntu's speaker symbol.,"again,",and
346,There is some debate in Arab countries about whether culture and values promote or retard development.,values are not the servants of development; they are its wellspring.,"ultimately,","however,"
347,Harry felt a chill down his spine as he saw the way they lined themselves across the corridor at his approach.,ian was the ringleader.,"clearly,","though,"
348,The most expensive?,our local chevron is pretty much in the middle.,"so,","again,"
349,"The leadership responsibilities were cloudy throughout that awkward season, and the Lakers in the end entirely lacked the unity and spirit of the everyman Detroit Pistons.",bryant didn't and couldn't declare the 2003-04 lakers were his team.,"or,",in other words
350,And I'll append a few comments from other people who have admired its qualities.,"the mud has been washed away, and once more the creek is shining, sparkling.","now,","though,"
351,Some single graces he gives must be paired with other graces he gives in order to bring about the goal.,the jews addressed in acts 7 received one grace-the motions of the holy spirit-but not the grace of corresponding with those motions.,"thus,",for example
352,It claimed to be shutting down the option for security but is widely known to have done so to close off an easy piracy conduit.,it shut out legitimate alternate uses such as a nasa computer cluster.,simultaneously,"though,"
353,This patent discloses an apparatus for selectively heating an individual food item in a refrigerated environment.,the apparatus of this patent is cooled by convection refrigeration rather than the conduction refrigeration of the present invention.,"again,","however,"
354,The digits must be all different.,the players try to guess their opponent's number who gives the number of matches.,"then,","in turn,"
355,"One of the biggest plusses in GW2's favor is what I like to call ""Open Grouping"".","you haven't played the game before, no matter what you're doing in the pve world of tyria, you can run up and help other players.","basically,",as if
356,"While she was chatty at times, Inkster was steely intense at others, stomping her feet and tapping the shaft of her putter against the brim of her hat to show frustration.",her round was much more satisfying than those of her playing partners.,"ultimately,","though,"
357,Now let's see what the doctor says.,"while waiting for my next checkup, i've been trying to keep hot-and-spicy dishes as a regular, healthy part of my diet.","meantime,","though,"
358,This is intentional Bad! Fic.,that i'm writing this as a parody.,"meaning,","in short,"
359,But at the same time hints at moments of cruelty and casual racism.,"borges comes in for much praise - not just for his work, but for renewing the spanish language by way of borrowings from other tongues.","overall,","though,"
360,"For example, Google clearly notes that its paid placements are ""Sponsored Links,"" and it will not place paid ads within its search results.",search engine companies believe their listings are labeled clearly enough-and they haven't stopped their paid placement practices.,"obviously,","though,"
361,I suggest writing a function that will take two arguments: the text to be escaped and the type of quotes the string is in.,"if the type of quotes are single quotes, the function will escape the single quotes in the string and any other characters that need to be escaped (backslash?)","then,",for example
362,"first, from listening to the papers it is clear to me that humour is an area that needs interactionist theorising, and a multi trait multi method approach in research.","the area needs interdisciplinary involvement and energy, and that is a major aim and hopefully outcome of today.","clearly,","also,"
363,"Therefore, you just called yourself a jackass, too.","this is a bit of a stretch, 1.",alternatively,and
364,"Machiavellian politics, teen angst, claustrophobic small town drama, a bit of political corruption...plus, an author I can rely on for great characters and atmosphere.",i'm sad to say it - the casual vacancy really disappointed me.,"yet,",and
365,"But, y'see, I never knew how insanely true it was until yesterday.",approximately 4:30 this morning.,"or,","rather,"
366,Use of more than 100 grams of seeds daily can cause intestinal upset and nausea.,fenugreek is extremely safe.,"otherwise,","however,"
367,The main difference between the two is that convection steamers come with a fan which allows for more even cooking.,make sure to only use a new aga commercial gas flex hose with the purchase of your new commercial steamer.,and,"finally,"
368,The V6 and non-Firehawk Trans Ams are available with either a manual or automatic transmission (Firehawks have a mandatory six-speed manual).,"trans am buyers who prefer an automatic can still get a performance package (performance tires, 3.23 axle ratio and more).","interestingly,","though,"
369,"Also, because I was indoors, I set the GPS to be off.",it still reported my gps location.,"though,","interestingly,"
370,"For all their quite obvious missteps, they do seem to be operating less under malice than confusion.",that generosity of spirit is scant reward for those who have waded through the film's stiff-backed period melodrama.,"ultimately,","however,"
371,"Actually I spoke with Sandz today (me and JudiJ: o0) and he said it would be a good choice, that I would be looking at 7 - 8 inches.",i'm reading profiles and they say they will get much larger.,"now,","however,"
372,"Bohr then returned to Denmark, where he was forced to remain after the German occupation of the country in 1940.","he was persuaded to escape to sweden, under peril of his life and that of his family.","eventually,","however,"
373,"Here, the recording data Dw is recorded by the D-flipflop 58 synchronously with the data existing point clock CKd.",the recording data dw is recorded synchronously with the magnetic clock pattern 42.,"thereby,","as a result,"
374,That red liquid drops from the ceiling.,"it only barely hurts, so it's no big deal.","now,",but
375,These days there seems to be an assumption that everyone is able to download a 2GB iso and burn it to either a DVD or a largish USB stick.,i found what i needed:.,"eventually,","though,"
376,"Moderation will never be perfect, since it relies on human judgement, and anyone can have a bad day and make some mistakes.",i have have noticed that the quality of comments has improved dramatically since the moderation system has been implemented.,"overall,","though,"
377,This would prove to be true as the week unfolded.,"i was excited and full of anticipation about the events of the coming week, and eager to reach my destination and join priscilla's homecoming.","overall,","though,"
378,"Get the whole story down, the full sequence of events, from OCD's first appearance to your latest efforts at therapy.","record your reflections on these experiences - the philosophical, theological, and poetic self-inquiry that will show readers how you've come to understand what you've gone through.","then,","separately,"
379,ETFS Physical Platinum Shares (PPLT) 1.8% Lingering European concerns have given the jitters to U.S. investors.,strength can be seen in some growth-correlated assets.,"interestingly,","however,"
380,She made these assertions unequivocally.,"lindengrove offered into evidence a copy of the nurse's notes in question, and asked dieterich to explain why they showed no entry by her.","then,","however,"
381,More of the secret past life of Skids comes to light as Rung helps lead him through drawing out his repressed memories.,an old acquaintance of rung's shows up needing a bit of help.,and,at the same time
382,"It was so easy to reinterpret her physical pain for the pain of a broken heart, or unrequited love, or of being unable to live without a Fennimore brand refrigerator.",the pain knocked her down again.,"eventually,","though,"
383,Hardly ever.,"at my fingertips, i have that ability - and i rejoice!","yet,","now,"
384,"My plans of watching every season of ""The X-Files"" in order has now stalled halfway through season three as 90210 takes it's place.","90210 takes the place of ""the oc"" which is what had already distracted me from txf.","or,","rather,"
385,"The Patriots have played 18 games this year, including their two playoff contests, and scored before punting in nine of them.",that's subject to a big first-half/second-half split.,"interestingly,","though,"
386,"""He's assuming then, that only men under 30 have money?""",whatever it is that men under 30 want is going to be a hit with women and older people because ...,"or,",alternatively
387,"I'm planning to try some African Dwarf Frogs with my fish, but that's the only immediate plans for any herps.",i would like some lizards and perhaps a snake again.,"eventually,","however,"
388,"After all, roads have been known to have had quite negative effects on wildlife.","the chimps seemed to ""draw on a phylogenetically-old principle of protective socio-spatial organization to produce flexible, adaptive and cooperative responses to risk.""","interestingly,","though,"
389,"Regarding the delve information on reactives, is each in percentage of 100 points?","with omni drain procs, will you get up to or will you get exactly 100 health, 60 pow, and 40 end?","meaning,",for example
390,But when we texted the e-concierge to ask about nearby lunch options it took more than half an hour to get a response.,our text concierge helped make a complicated dinner reservation without a hitch.,"later,","however,"
391,"at first, they lived solitary lives practising extremes of hardship.","some came together in large or small groups for work and worship, and so renounced the world.","later,","however,"
392,But he was fourth - eight-tenths of a second behind the Australian Ricciardo - here and could feel delighted with his afternoon in an uncompetitive car.,the day was all about hamilton.,"ultimately,","though,"
393,"alternatively, to the above described embodiment the connector 20 can comprise more than one fluid inlet and more than one outlet.",one fluid inlet can be used to introduce water and the other fluid inlet can be used to introduce steam.,"thereby,",for example
394,"After all, He spared not His own Son in order to redeem us!","what satan intended for evil, god used for good.","thus,","again,"
395,Each promotion may be associated with a button.,"a user may scroll through a list of promotions on a display on the front of the card (e.g., using buttons to scroll through the list).","or,",for example
396,"Thus, communication of a natural numeral is not limited by a buffer size or register size, such as 32 bits or 64 bits.",arbitrarily-sized padding or breaks may be employed between natural numerals.,"likewise,","similarly,"
397,I am someone who believes that we shouldn't be making excuses for an entity that has the power to stop rape and simply does not.,"why do you concentrate on ""rape"", ""child molestation"" and ""torture""?","obviously,",but
398,(You have to love the Rube Goldberg approach to crime in these stories.),the woman's daughter accidentally knocks the boy's head off and believes she's killed him herself.,"eventually,","though,"
399,Because it sounded too good to be true.,i am more confident that it is a legitimate procedure.,but,"now,"
400,"Cryptic speciation has explicitly been hypothesized for P. nausithous [44], P. teleius [45] or both [38] based on a limited number of divergent sequences.","high sequence variation and the large morphological variability of p. teleius could be a result of its phylogeographic history, e.g.",alternatively,"however,"
401,"Since it would involve a rejection of Jesus as their Messiah and Savior, such a return would cause them to lose their salvation.","of our interpretation of the one verse, 12:15, the message of the entire letter utterly destroys the false doctrine of ""once saved, always saved.""","regardless,","then,"
402,Awarded fi.,"they have no hijackings, you get through in an instant.","though,",and
403,the transparent latch is used with a clocked sense amplifier referred to below.,the output from the exclusive or gate 23 is provided to the input of transparent latch 24.,"thus,",for example
404,"Considering that Google Caffeine will be indexing more pages, this will inevitably create more competition for single keywords.","this will give you more opportunities to target long-tail keywords, as google will be looking for higher accuracy and relevancy.",simultaneously,"however,"
405,"This is just the beginning though, we still need to do some look & feel tweaking to make sure Alloy Editor is perfectly integrated.","i kept the best for last, the new forms application has had many important improvements.","finally,",and
406,In another preferred embodiment the radiation means has several light sources with different emission spectrum.,individual light sources can be provided which radiate light in the visible area while further light sources emitlight in the infrared wavelength area.,"thus,",for instance
407,The writers she rates break down pretty evenly left and right.,"theose who are critical of republicans are significantly more so than those who are critical of democrats (coulter 53, scheer 79 are the top of each list).","interestingly,","though,"
408,But I'm looking.,realize that /regex/ evaluated as falsy!,"now,",and
409,"First, he saved her life in the Pit.",he got her out of crane's clutches.,"then,","later,"
410,They need healthy people to pay more to make it all work.,they'll need to charge more for obamacare-compliant policies in the future.,"or,",alternatively
411,"The known preparation of polyurethanes may be carried out, for example, as follows:.","the oligoester or polyester, the organic diisocyanates and the chain-extenders may be heated, preferably at a temperature of from about 50 to 220° c., and then mixed.","hence,",for example
412,"After co-captive Royce Williams tries to escape and gets killed, spraying Lafayette with blood in the process, he wisely decides to stay put for the time being.",he makes a run for it and gets shot.,"eventually,","though,"
413,"They should be able to withstand the following, somewhat paradoxical test: if this piece of information became public, could you credibly explain why it should not have become public?",there is absolutely no good defence for keeping secret the american helicopter gunship video.,"thus,",for example
414,"When kids are little, job #1 for a parent is to provide protection.",that gives way to preparing kids to make their own decisions.,"eventually,","however,"
415,"Then ask her (assuming there's still no due date coming, though I hope there is) what, in a perfect world, she wants of you.","hear her out and don't ""no"" her out-of-hand--even if you end up not changing a thing.","then,","again,"
416,All that we have here is another transfer of money to the producer of materials.,counting the amount of dollars received by intermediary producers as part of the total national income provides a misleading picture as far as total income is concerned.,"obviously,","then,"
417,"Through the spread of Buddhism, an empirewide standard now overshadowed fragmented local autonomy on basic issues of proper human relationship, justice and social order.",buddhist insistence on a clear separation of ecclesiastical authority from secular control caused constant conflict between the central authority of the dragon throne and independent-minded buddhist fundamentalists.,simultaneously,"however,"
418,They like to pound the ball and get vertical.,"they don't want to have any limitations, so that could change a bit this season.",but,on the other hand
419,"While outdoor eating spots are becoming more popular, it remains to be seen whether Kelowna will ever have the robust scene other metropolitan hubs can boast.",fans of foodie culture are celebrating the tiny steps forward.,"meantime,","however,"
420,"""Walk it out"" is not just a terrible (I mean WONDERFUL) song...it's also some pretty solid advice for anyone dealing with a problem.","i know this one isn't feasible for everyone, but i think it's a great thing to do.","so,","again,"
421,And the Western response as an invitation to further aggression.,"kurtz sees tribalism, despite its honor-shame culture, as more flexible than islam:.","interestingly,","however,"
422,"Many cultures, for instance, produced a great many celibates for long time periods.",some behaviors persist despite their apparent nonadaptive value.,and,on the other hand
423,I haven't bothered going back to the doctor yet.,"i think you're right, not your mom!","obviously,","though,"
424,"Since low pressures and flow rates are achieved, these inserts will not be damaged, at least less easily than in conventional technique.","labels, in particular in-mold labels, can be placed for obtaining a desired finish.","thus,",for instance
425,"at notre dame, they were borderline heresy.",all were checked off.,"eventually,","though,"
426,"There are, of course, some issues of data integrity and assumptions as in any large statistical analysis.",i think a reasonable picture of the true employment situation can be gleaned from a careful examination of the available data.,"overall,","however,"
427,This means that government--at all levels--cannot be sued unless it consents and it can set the conditions for doing so.,the federal government has consented to its being sued to establish a right in land to which the government lays claim.,"so,",for example
428,"Lyrically, this seems a little less raunchy and raucous than the last EP, with no mention of 'sluts' among the song title.",i felt pretty much an identical reaction that i did last year.,"ultimately,","though,"
429,"Story-wise you could have players belong to a shape-shifting species that absorbs traits from other creatures, that would explain all the avatar changes.",players could be spirits that actually possess the desired creature.,"or,",alternatively
430,"As such, I really enjoyed Andrew Peterson's piece on the recent tour.",i always end up inspired and hopeful after everything ap writes--he has a gift.,"basically,","though,"
431,"in the united states, as in britain, ht has so far not met the criteria for banning as a terrorist group.","as it grows in numbers and in its presence on the web, it is pressing hard against the boundaries of what a free society can tolerate.","clearly,","though,"
432,"15, the interleaving operation occurs during the packing of the second blocks from the second frame into the third blocks of the third frame at step 1508, and vice-versa.",the interleaving process can occur as a separate step from the packing process and still fall within the scope of the invention.,"again,","however,"
433,"the proposed fair now had an address, but not a cent available to raise it from beneath the waters of the bay.","the exploratory committee formed by mayor rossi had become a corporation, with insurance man leland cutler at its head.","meanwhile,","however,"
434,"It should be noted that, generally, the registration rollers 49 are grounded.",the registration rollers 49 may be supplied with a bias voltage in order to remove paper dust from the recording sheet.,alternatively,"however,"
435,He forced him to watch footage of his rampage over and over again.,bruce realized that gamma radiation could destroy the vibranium used by the chitauri.,"fortunately,",because of this
436,"Within normal science, minor cracks in a theory are sometimes ignored.","difficulties within a paradigm can become unsustainable, and a revolution occurs.","eventually,","however,"
437,There is a lot of mythology in that claim.,"to add insult to injury, here is perhaps the largest ever special treatment programme being offered to minority brits--and by the bnp itself.","yet,","now,"
438,"If he then says ""I wasn't pursuing Martin,"" the prosecutor could admit the phone call into evidence to impeach his credibility on this point.",that wouldn't necessarily prove that zimmerman doesn't have a self-defense claim; all it proves is that zimmerman was pursuing martin.,"again,","however,"
439,"We feel hurt and diminished by others, and we feel aversion and hatred for others, but the source of it is the comparison, and the separation.","disliking others, because we compare them to us, and we don't like the results.","then,","basically,"
440,"Veteran reporter Moussa Kaka, who has been reporting on Islamist militants in Mali, said he relies on his extensive experience as a reporter to keep himself safe and circumvent limitations.","""you must establish total trust"" with your subjects, he said.","ultimately,","however,"
441,"For the most part, this group has been playing together our whole lives, and that experience and unity will benefit us countless ways.",the key to our season will be mental toughness.,"again,","though,"
442,"People needed amenities, needed attention of various kinds, and I had nothing.","there i was in dachau and i felt i had to do something, and so i entered the barracks and stood there, terribly disturbed.",but,nevertheless
443,"By clicking on the ""Confirm Order"" button, Lessee indicates acceptance of the modified Terms and Conditions.","in consideration of the mutual covenants and promises hereinafter set forth, the parties hereto agree as follows:.","now,",therefore
444,T he city of Chicago is one of the few major metropolitan areas which runs away from its past at every opportunity.,"the very construction of the city led to the term ""underworld.""","yet,","indeed,"
445,"Sir, you are most correct, at least from my limited time with the Forte.","i believe they most likely will/should keep the vario/vario-w, preciso siblings as is, so there are multiple options.","basically,","though,"
446,"At least, not for 165 minutes.",linklater builds in enough recognizable elements that we soon see ourselves in everything that happens.,"luckily,","however,"
447,"Now coding generally can be long because it take the time to type it out and basically ""connect"" everything together and testing to fixed mistakes, bugs, and etc.",coding can be sped up when making similar things you can use coding to do that and make small changes.,"again,","though,"
448,"The reason for excluding criticality, as we understand it, is criticality is viewed as a facility worker hazard.",there are many--the approach is one of prevention.,"so,",therefore
449,I have to let them keep stirring in my mind while doing sporadic research.,some mental switch flips and i suddenly feel driven to push them to completion.,"eventually,","however,"
450,"Typically, you can expect hormone therapy to control your prostate cancer for at least one to four years and possibly for as long as 10 years or more.",the prostate cancer cells adjust to the lack of hormones and begin to grow again.,"eventually,","however,"
451,"To address the future, however, I would love to study a Master's outside of Mexico.","i would love to take advantage of an invitation that i received from jannis kounellis to go, live, and work in rome.","although,",before that
452,"For each of three years in 1995-97, Justice had a higher batting average than Jeter did.",jeter had the highest batting average.,"yet,","overall,"
453,Coach (98) also makes recommendations about what to study or practice.,instruction is trainee-initiated.,"ultimately,","however,"
454,I'll share this kernel of truth: it feels like a duplication.,the grid was smooth as silk.,"otherwise,","however,"
455,Martin has pleaded not guilty to a misdemeanor in connection with a separate hazing aboard the charter bus that transported members of the Marching 100's percussion section to performances.,"of the hazing investigation, a university administrator has been charged with fraud over travel reimbursements.","separately,",as a result
456,"Some scholars explicitly refer to general modernization theory as well as non-Marxist world-system theory, others don't.",there is a common understanding that ecological modernization will have to result in innovative structural change.,"ultimately,","however,"
457,"The day in the summer of 2007 that they renewed their vows-this time, in front of their son-on an LGBT family cruise led by Rosie O'Donnell?","next tuesday, when they plan to hold a small ceremony recognizing their legal marriage (finally!)","or,","now,"
458,"The monetised total value is upwards of £40 billion, even £50 billion.",we must recognise that that calculation takes place over a 60-year time frame.,"ultimately,","however,"
459,"Instinct had me abandon Highway 9 for on a northwesterly track to Newcastle, Oklahoma.","another ominous looking storm was straight ahead traveling east, so most everyone stopped their cars and waited for the storm to pass before continuing travel.","eventually,","however,"
460,Is knowledge of languages.,"we often find hebrew words untranslated in the books as for example, amen, halleluia, racha, hosanna, and others of the same kind.","although,","indeed,"
461,No one is denying that having a Twitch event directed by Nintendo is a quality product to deliver to their consumers.,the company's resistance toward giving this power to their users is both patronizing and out-of-touch.,"still,","however,"
462,"You're right, atheists don't get our morals from the bible.",neither do you.,"luckily,","however,"
463,"It also used to play recent episodes of shows that were currently airing, (but only for a limited time).","what a person could watch for free through hulu dramatically shrunk, which was disappointing.","eventually,","though,"
464,"British populations, currently around 6,000 pairs, are declining.",the species is not in serious decline.,"overall,","however,"
