File Number,Explicit Connective,Implicit Connective,Arg1 Complete,Arg2 Complete,Explicit Sense1,Implicit Sense1
wsj_2112,and,so,"But we still hear him moaning at night because the Navy has a few ships left,","to satisfy him the Navy's sea lift forces were given to a new Air Force bureaucracy in Illinois, its space operations to another command in Colorado, the frogmen to a new Army bureaucracy in Fort Bragg, and the Navy's Indian Ocean and Persian Gulf forces to an Army bureaucracy in Florida.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1695,and,as a result,To the extent that Democratic legislators from the South have held a disproportionate share of power in Congress since 1932,"have been able to translate such clout into relatively more local benefits for their respective constituencies, voters in the South have had an especially strong incentive to keep such Democrats in office.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1376,and,then,If directors or producers phone me,"say they know `Liz, ' I know they've never met her.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2225,and,therefore,"For example, it recommends nonchlorinated dishwasher detergent",puts Sunlight on its environmentally safe list.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0922,and,specifically,"He adds: ""We, and the rest of the EC have to talk to the Germans, now, frankly","raise these future risks with them.""",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_2144,and,then,The product overcame the bad publicity,kept evolving.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2418,and,then,"It all seemed innocent enough: Last April, one Steven B. Iken visited Justin Products Inc. here, identified himself as a potential customer",got the word on the little company's new cassette players for children.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1036,and,as a result,The company reported a third-quarter loss,said it is holding talks with its bank lenders for an extension on some overdue debt payments.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1411,and,yet,"""We're in a metro area with millions of Bear fans,","only a small number can be accommodated.""",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
wsj_2255,and,so,"American Continental's thrift unit, Los Angeles-based Lincoln Savings & Loan Association, is in receivership",the parent company has filed for protection from creditor lawsuits under Chapter 11 of the federal Bankruptcy Code.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0515,and,as a result,The flood of claims and counter-claims worried consumers,actually hurt sales of the new cereals.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1778,and,as a result,"The quivers move through my house every few minutes at unpredictable intervals,",the mouse that's been living in my kitchen has taken refuge under my desk.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0419,and,therefore,"However, unpaid distributions on the acquisition preferred are cumulative","would total $23 million a year, hurting NRM's financial flexibility and its ability to raise capital, NRM said.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0622,and,as a result,"In its report to Congress on international economic policies, the Treasury said that any improvement in the broadest measure of trade, known as the current account, ""is likely at best to be very modest,""","""the possibility of deterioration in the current account next year cannot be excluded.""",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
wsj_1504,and,thus,In case managers and personnel specialists are unsuccessful,"subordinates take their complaints to a company court or adjudicator, teach managers to accept reversals as a fact of business life, for in a good due-process system they are bound to happen.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0436,and,on the contrary,"He said he feared a Revco reorganization might force bondholders to accept a ""cheap deal,""",that the Bass group's offer would give them more money.,Expansion.Conjunction,Comparison.Contrast
wsj_1445,and,as a result,"""They've had this field to themselves for over a year now,","they've been greatly rewarded,"" said Bob Katsive, an analyst at Disk/Trend Inc., a market researcher in Los Altos, Calif.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1469,and,therefore,Traders who had bought the goods at prices above the ceiling don't want to take a loss on resales,are holding onto their stock.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1423,and,so,"The decision, Webster vs. Reproductive Health Services, illustrates how Supreme Court rulings often have a ripple effect, spreading into areas of law and policy that weren't part of the actual cases decided",that never were contemplated by the justices.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1803,and,then,"Tuesday night, thousands were diverted to other airports",had to wait a day to resume travel.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0578,and,yet,"For example, he says that since 1985, he and Mr. Peters have developed over 85 movie projects,","Warner has ""passed"" or chosen not to produce at least 76.",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
wsj_0786,and,then,"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share",asked Mr. Gilleland to stay on as an equity participant.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0944,and,therefore,"As a public figure, Mr. Masson had to prove malice",", as proof of malice, Mr. Masson contended that defamatory quotations ascribed to him by Ms. Malcolm were in fact fabricated.",Expansion.Conjunction,Contingency.Cause.Result
wsj_2413,in order,thereby,Government officials tried throughout the weekend to render a business-as-usual appearance,to avoid any sense of panic.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
wsj_0475,and,as a result,"Such a change meant the reorganization plan the creditors had agreed on was no longer valid,",the two sides had to begin negotiating again.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2232,and,so,"Still, the market hadn't yet crossed into positive territory,",traders were glum.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2230,and,so,"A midmorning rebound brought it back to show a gain of about 200 at the end of the morning session, but the rally failed in the afternoon,",the market closed near the day's low.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1939,and,as a result,"That is, with capital gains cut, the glue of the 1986 accord will be gone,",political realities will push up income-tax rates.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1323,and,then,The guide scoops into a pail,puts a frantically wiggling croaker on the hook.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0290,and,as a result,The politician appearing is highly controversial,has recently generated a good deal of rancor amid certain groups.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1781,but,then,B.A.T Industries fell in early dealings,"recovered to finish at 754, up 5.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Precedence
wsj_1772,and,therefore,"It's a trade secret how many were plastic,",most writers still don't know what they're using.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1593,and,then,"As mandated by law, the tax rate will rise to 7.65% in 1990 from 7.51%",won't rise any further in the future.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1688,and,thus,"From what he saw on television, Mr. Chesley points out that Interstate 880, which collapsed","killed more than 200 commuters, suffered serious damage while surrounding buildings appeared to sustain no damage whatsoever.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0075,and,then,to be auctioned Wednesday,"to mature Nov. 15, 1999",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0552,and,therefore,"Sales growth of 10% a year seems possible, he said,",Akzo expects its Twaron business to become profitable in 1990.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0922,and,as a result,"Despite sudden changes in the strategic equation, some Western European leaders, especially British Prime Minister Margaret Thatcher, remain skeptical about European political and economic unity,",are unlikely to let East-West concerns change their minds.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0039,and,because of that,She was untrained,", in one botched job killed a client.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0281,and,then,The National Transportation Safety Board ruled that pilots failed to set the plane's wing flaps and slats properly for takeoff,failed to make mandatory preflight checks that would have detected the error.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1847,and,instead,It's time to scrap the politically infested spending machine HUD has become,channel the resources into the drug war.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_2402,and,as a result,"The trade figures turn out well,",all those recently unloaded bonds spurt in price.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0766,and,then,"He returned home last Thursday, packed a bag with fresh clothes",reported for duty Friday in Walnut Creek.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1320,and,as a result,"But Erik Dunlaevy, a sugar analyst with Balfour Maclaine International Ltd., said the explanation for the latest drop in sugar prices is much simpler: Speculators, he said, ""got too long too soon","ran into resistance around the old contract highs.""",Expansion.Conjunction,Contingency.Cause.Result
wsj_1264,and,thus,"""Publishers will find that some magazines have served their purpose","should die,"" he added.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0097,and,as a result,"First, the trading is done over the counter",isn't reported on either the U.S. or London stock trading tapes.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2201,and,then,"In the aftermath of the 1987 debacle, the brokerage firm began taping commercials in-house, ultimately getting its timing down fast enough to tape a commercial after the market closed",rush it on the air that night.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0339,and,then,"Nonetheless, the $36 million issue they floated in 1980 opened at $35",leaped to $89 within 20 minutes.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1567,and,therefore,"An estimated 10 million Americans are now using financial planners,",the pool of capital they influence is enormous.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1411,and,then,"He quickly cut the team's bloated administrative staff by half, shut down a Cowboys-owned dance academy",", in July, announced plans to sell Valley Ranch, the team's 30-acre practice camp and the most lavish training facility in the NFL.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1922,and,then,You can drive piles on it,"build on it.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2201,then,but,"At Shearson Lehman, executives created potential new commercials Friday night and throughout the weekend,",had to regroup yesterday afternoon.,Temporal.Asynchronous.Precedence,Comparison.Concession.Arg2-as-denier
wsj_0990,and,then,"Another 250 Libyans were already in Italy to stage a day of mourning for victims of Italy's colonial rule between 1911 and 1943, when Tripoli says Rome kidnapped 5,000 Libyans",deported them as forced labor.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1634,and,then,"""Jon Peters will come barreling into a room, say he's got a great idea,",be gone.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2276,and,then,"Mr. LeBaron, who manages $10 billion, says, ""We turned the trading system on,","it did whatever it was programmed to do.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1817,and,then,Atlantis lifted Galileo from the launch pad at 12:54 p.m. EDT,released the craft from its cargo bay about six hours later.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0732,and,thus,The reduction eases the burden on portfolio changes,frees capital to seek more productive or more appropriate uses.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0343,and,instead,Both plans would drop child-care provisions from the House version of the deficit-reduction legislation,let it progress as a separate bill.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_1760,then,and,"On Main Street, Alida Verwoerd and her daughters look after the clothes and fabric shop,",hurry home to fix lunch for the rest of the family.,Temporal.Asynchronous.Precedence,Expansion.Conjunction
wsj_1575,and,thus,"He said Rorer sold the drugs for ""nice prices""","will record a combined, pretax gain on the sales of $20 million.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0472,and,thereby,"Still, Boeing went through its normal verbal gymnastics",played up the downside.,Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
wsj_1939,and,then,"Within minutes after the stock market closed Friday, I called Sen. Bill Bradley of New Jersey, advised him that the Dow Jones Industrial Average had declined by 190 points late that afternoon,",cheerfully informed him that he and his fellow Democrats were to blame.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0988,and,specifically,They are spread around the country,"include locations in California, Florida, Washington and Arizona.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_0003,and,then,"Workers dumped large burlap sacks of the imported material into a huge bin, poured in cotton and acetate fibers",mechanically mixed the dry fibers in a process used to make filters.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0015,and,as a result,But state courts upheld a challenge by consumer groups to the commission's rate increase,found the rates illegal.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0416,and,in contrast,"Humana contends that $8,000 represents an extreme case","that its regular charge for lithotripsy is $4,900.",Expansion.Conjunction,Comparison.Contrast
wsj_1618,and,so,"""I guess I thought, `This is the World Series","I'm not gonna wimp out!'""",Expansion.Conjunction,Contingency.Cause.Result
wsj_1264,in order,thereby,"More than ever, independent magazines and small publishing groups are being gobbled up by larger publishing groups, such as American Express Publishing Corp., a unit of American Express Co., and Conde Nast Publications Inc., a unit of Advance Publications Inc., which are consolidating",to gain leverage with advertisers.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
wsj_1044,and,similarly,Michigan's Senate passed a bill requiring girls to get parental consent for an abortion,Pennsylvania's House cleared a measure banning abortions after the 24th week of pregnancy.,Expansion.Conjunction,Comparison.Similarity
wsj_0473,and,therefore,"But last week Gerald Maier, president and chief executive officer of TransCanada, said the company ""intends to be a party to any transportation system that goes up there""",that it would consider joint ventures with other players to ensure it has a role.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2418,and,still,"""I made a similar line","I produced it cheaper,"" he says.",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
wsj_0284,and,so,The firms will be registered under Japanese law as foreign legal consultants,their practice with Japanese clients will be limited to advising them on matters of foreign law.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1273,without,but,"Especially at times like these, when declining rates make it hard for investors to get yields they have come to expect, too many people chase the promise of above-market returns",fully appreciating the risk.,Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
wsj_0041,and,then,"A trend that started with the first stirrings of politics, accelerated with the dawn of the television age","became a sometimes-tawdry art form in 1988, has reached an entirely new stage.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1705,and,then,"In developing that theme at Interpublic Group of Cos. ' Lintas: New York unit, account supervisor Lisa Buksbaum says she made a ""couple of phone calls"" to Dallas ad friends","reported her ""findings"" to a team of writers.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0764,and,as a result,"And only last week the newspaper Vanguardia Liberal in the city of Bucaramanga was bombed,",its installations destroyed.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2231,and,then,Mr. Van de Kamp is the one who collected the plans from the various radical environmental groups,"cobbled them into a single unwieldy initiative to be placed on the ballot for election on Nov. 6, 1990.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1270,and,then,But many owners plan to practice frugality -- crossing out the old code,writing in the new one until their stock runs out.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0997,and,specifically,They immediately termed the proposal inadequate,said the restructuring would not solve the company's problems.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_1376,and,in contrast,which are droppable,which are not,Expansion.Conjunction,Comparison.Contrast
wsj_1128,and,as a result,"""Red Delicious has been overplanted,","its prices have dropped below the cost of production,"" says Washington State's Mr. Norton.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1094,and,then,The political risk would be far less if the president drew a firm line,"hewed to it, experts insist.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1884,and,then,But those issues recovered quickly,turned higher because of expectations that the quake and the recent Hurricane Hugo would set the stage for an increase in premium rates.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0989,and,as a result,"General Motors earlier this year said it wouldn't deliver bulk mail or free magazines in its Flint, Mich., office, while Air Products & Chemicals, Allentown, Pa., says it screens junk mail",often throws out most of a given mass mailing.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0015,and,then,The Illinois Supreme Court ordered the commission to audit Commonwealth Edison's construction expenses,refund any unreasonable expenses.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0309,and,instead,"This week, a Baltimore Sun editorial said the Lantos subcommittee on HUD should forget about Sam Pierce's testimony for the moment",call some other witnesses: the various congressional sponsors of the 40 pork-barrel projects.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_1246,then,and,"The two said they must still do more laboratory tests,",experiment on animals.,Temporal.Asynchronous.Precedence,Expansion.Conjunction
wsj_0039,and,specifically,"I mention the picture only because many bad movies have a bright spot,","this one has Gregory Peck, in a marvelously loose and energetic portrayal of an old man who wants to die the way he wants to die.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_0445,and,instead,Many of the companies are even dropping their traditional independence,trying to band together to create some sort of standard.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_0900,and,as a result,"Mr. Kiep said he sought the combination because ""all our large clients in Germany are becoming European companies or multinational companies","they expect an insurance broker"" to serve them as well in Paris as in Germany.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0049,and,as a result,"Mr. Samnick, who will go before the disciplinary panel, said the proceedings are unfair",that any punishment from the guild would be unjustified.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1778,and,then,"Then as things got rougher, we ran for the door","spent the next few minutes outside watching the brick sidewalk under our feet oozing up and down, and the flowers waving in an eerie rhythm.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0114,and,as a result,"Robert J. Danzig, vice president and general manager of Hearst Newspapers, stood up in the paper's newsroom yesterday and announced that no buyers had stepped forward","that the paper would fold, putting more than 730 full-time employees out of work.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0456,and,as a result,In that time more than 1.2 million jobs have been created,the official jobless rate has been pushed below 17% from 21%.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0062,and,then,"Interpublic is providing the programming in return for advertising time, which it said will be valued at more than $75 million in 1990",$150 million in 1991.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1451,and,thus,"The holding company said the rights offering should reduce its C$171 million debt to ""more manageable levels"" before Dec. 31",allow it to finance future investments with equity capital.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0283,and,then,"Under the debt-equity program, potential investors will submit sealed bids on the percentage of discount they are willing to purchase the debt at,",the bids will be allocated based on these discount offers.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0118,and,in contrast,"Cost-effective index funds just aren't sexy enough to justify the high fees and commissions that retail customers frequently pay,",that institutional customers refuse to pay.,Expansion.Conjunction,Comparison.Contrast
wsj_1531,and,as a result,"Management's total could be reduced,",the public could get more than the 15% control that had been earmarked for British Air.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2011,and,thus,It is probably continuing,"may well account for most of, or all of, present-day global warming.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1218,and,then,"One cell was teased out,",its DNA extracted.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0085,and,therefore,"Many banks, particularly smaller ones, were slow to computerize",couldn't target market niches that would have made the programs more profitable.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1262,and,then,"Their ""secret"" is that they gather a small group of advisers around them, listen to what they have to say, prepare a business plan",they are on their way.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2112,and,then,"Why, he used to lay in wait for Cap; suddenly he'd leap from behind some statue of Marshall onto Cap's chest and grab him by the throat",choke him till he coughed up an additional $2 billion or so.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1397,and,then,"He bangs on the piece of paper in frustration, then turns",walks away.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1327,and,thus,"""She just wiggled her fanny","all the French fell in love with her,"" sniffed the literary world's Maria Jolas, not entirely inaccurately.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0049,and,so,"In his lawsuit, Mr. Trudeau says the strike illegally included Darkhorse,",the cartoonist refused to honor the strike against the company.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2053,and,therefore,"And just last week, Defense Secretary Dick Cheney gave a strong speech listing ""compelling reasons"" to push ahead with SDI","saying he'd urge President Bush to veto a defense bill with ""inadequate"" funding for the program.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0759,and,yet,"""To be profitable, the paper requires more circulation","building circulation is an expensive undertaking,"" said John Macfarlane, the paper's publisher.",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
wsj_0294,and,namely,About 800 have crossed the picket lines,returned to work.,Expansion.Conjunction,Expansion.Equivalence
wsj_1416,and,yet,"From my own point of view, given the qualities of humanity, creativity and warm spirit in which the Cuban people excel, we deny ourselves access to things we hold dear,",which seem to run in such short supply these days.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
wsj_1766,and,therefore,"In addition, Hewlett-Packard, while a much smaller player, has made a big commitment to the sorts of industry standards that facilitate those hookups",could give IBM some problems.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2247,and,therefore,"In 1989, Regatta will have sales ""in excess of $10 million""","will show a profit, Mr. Parker said.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1803,and,yet,This {Wednesday} morning the San Mateo bridge was open,"now we are informed that it is closed,"" Mr. Schumacher said.",Expansion.Conjunction,Comparison.Contrast
wsj_0765,and,then,"Mr. Sutton recalls: ""When I left, I sat down with Charlie {Rangel}, Basil {Paterson} and David, and David said, 'Who will run for borough president? '","I said, 'You will. '""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1564,and,then,Then take the expected return,subtract one standard deviation.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1812,and,as a result,"""We think these trends will continue","will produce a very disappointing fourth quarter as well,"" he said.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0964,and,therefore,Environmental groups have been calling for faster action on dangerous pesticides,may welcome part of the proposal.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0671,and,instead,Credit market analysts expected the Treasury to cancel today's three-month and six-month sale,to sell $17 billion of cash management bills.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_1463,and,therefore,"Winnebago Industries Inc., battered by a deepening slowdown in recreational vehicle industry sales, reported a widened fourth-quarter loss",slashed its dividend in half.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1213,and,instead,That happens when nervous stock investors dump equities,"buy Treasurys, which are higher in quality and thus considered safe.",Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_2068,and,thereby,Investor Asher Edelman increased his stake in Intelogic Trace Inc.,cleared the way for additional purchases.,Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
wsj_1643,and,then,Everyone at the Stick that day had started out as a spectator,ended up as a participant.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2449,and,so,"On the provisions of the Minnesota law, the Bush administration said that requiring that both parents be notified is a reasonable regulation,",that there is no need to have an alternative that allows minors to go to court for a judge's permission instead.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0071,and,as a result,"The classics have zoomed in price to meet the competition,","it almost seems that there's a race on to come up with the priciest single bottle, among current releases from every major wine region on the globe.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1591,and,therefore,"The new chip ""is a very big step in computing,","it is important that Olivetti be one of the first out on the market with this product,"" said Patricia Meagher Davis, an analyst at James Capel & Co. in London.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0105,and,therefore,"Of the approximately 200 sponsors of the recent march in Washington for the homeless, you chose to cite such groups as the National Association of Home Builders and the International Union of Bricklayers and Allied Craftsmen, insinuating that the march got its major support from self-serving groups that ""know a good thing when they see it,""",that the crusade was based on greed or the profit motive.,Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
wsj_1044,and,as a result,"A landslide engulfed a hillside slum in Sao Paulo, Brazil,","at least 20 people, most of them children, were missing and feared dead.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1624,and,thereby,"And Donaldson, Lufkin & Jenrette Securities Corp. scrambled to restructure",improve the potential returns on a $475 million debenture offering by Chicago & North Western Acquisition Corp. that was still being negotiated late last night.,Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
wsj_2064,and,therefore,"A U.S. decision to refuse the IMF its capital increase, or limit it to 25%, would bring a major change in international economic policy,",could not be taken lightly.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0259,without,but,Another fight is brewing between Congress and the Bush administration over how to pay for the savings-and-loan bailout,adding to the federal budget deficit.,Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
wsj_0351,and,then,"Bond prices staggered in seesaw trading, rising on reports of economic weakness",falling on reports of economic strength.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1099,and,thus,"However, shedding steel would run directly counter to Mr. Roderick's original rationale for diversifying into oil and gas: Having two major products would lessen the company's vulnerability to one market's down cycle",help smooth out the flow of cash and earnings.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0469,and,then,They predict that organized-crime activity will increase once the units are dissolved,their responsibilities transferred to U.S. attorneys' offices.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0758,and,then,"And on Mr. Engelken's 40th birthday, his wife bought a book detailing the big homer",sent it off to Mr. Thomson to be autographed.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2041,and,then,"That illustrates the kind of disappointment many Indians feel toward Mr. Gandhi, whom they zestfully elected",enthusiastically supported in his first two years in power.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1490,and,as a result,"So anyone buying the stock now is betting on some special transaction such as a recapitalization or takeover,",must do so using some guesswork about the likelihood of such an event.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1273,and,therefore,Computations involving zero-coupon CDs are more complicated,"you should discuss any questions you may have with your financial consultant.""",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
wsj_0214,and,as a result,"Worse, says baseball author Lawrence Ritter, ""Someone will get a heart attack","that will be the end of the whole story.""",Expansion.Conjunction,Contingency.Cause.Result
wsj_2032,and,so,That deadline has been extended once,could be extended again.,Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
wsj_2112,and,then,One night both Marshall's ghost and the shah's ghost together caught Cap,threw him to the ground.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0118,and,therefore,The real battle is over who will control that market,reap its huge rewards.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2227,and,as a result,More money for HUD will increase the deficit,destabilize the economy; more money to municipalities that are wrecking their local housing markets will further insulate them from the destructive effects of their policies.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1574,and,therefore,Even if you're healthy,"can renew, your premium will go up sharply because you're that much older.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0048,and,as a result,"Giant Group is led by three Rally's directors, Burt Sugarman, James M. Trotter III and William E. Trotter II, who earlier this month indicated they had a 42.5% stake in Rally's",planned to seek a majority of seats on Rally's nine-member board.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1154,and,then,"If a strike ever hits the Met, the company can still sell tickets to his ""Boheme"" and ""Turandot""",boom out recordings (of another era).,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0121,and,therefore,And surprising numbers of small investors seem to be adapting to greater stock market volatility,say they can live with program trading.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0277,and,therefore,"""Those who have no money","aren't buying think it's right to refrain, but those with money who want to buy for themselves pay no attention,"" says an official of the Japan-U.S. Business Council.",Expansion.Conjunction,Contingency.Cause.Result
wsj_2350,and,yet,"Time's rivals news-weeklies, Washington Post Co. 's Newsweek and U.S. News & World Report, are less reliant on electronic giveaways,",in recent years both have been increasing their circulation rate bases.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
wsj_0060,and,as a result,"But the ratings are considerably below expectations,",some stations say they may not buy new episodes when their current contracts expire.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1792,and,therefore,"He added the airline isn't committed to going forward with any new bid,",hasn't participated in bankers' efforts to revive the transaction that collapsed.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0776,and,then,"Last summer, he chucked his 10-year career as a London stockbroker",headed for the mountains.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0080,and,instead,Georgia Gulf rebuffed that offer in September,said it would study other alternatives.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_2276,and,so,"Many market makers in the S&P 100 index options contract had bullish positions Friday,",when the shutdown came they were frozen with huge losses.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0741,and,as a result,"The original bank in Frankfurt closed in 1901 after the death of Wilhelm Carl von Rothschild,",the family's banking activities focused on London and Paris.,Expansion.Conjunction,Contingency.Cause.Result
